Pallet: "pallet-identity", Extrinsic: "clear_identity", Steps: 10, Repeat: 100
R,S,X,time
29,50,50,719000
29,50,50,710000
29,50,50,692000
29,50,50,911000
29,50,50,717000
29,50,50,734000
29,50,50,703000
29,50,50,700000
29,50,50,823000
29,50,50,687000
29,50,50,712000
29,50,50,706000
29,50,50,717000
29,50,50,721000
29,50,50,903000
29,50,50,728000
29,50,50,695000
29,50,50,725000
29,50,50,730000
29,50,50,719000
29,50,50,936000
29,50,50,723000
29,50,50,719000
29,50,50,708000
29,50,50,710000
29,50,50,705000
29,50,50,687000
29,50,50,719000
29,50,50,744000
29,50,50,781000
29,50,50,712000
29,50,50,763000
29,50,50,700000
29,50,50,701000
29,50,50,693000
29,50,50,699000
29,50,50,699000
29,50,50,725000
29,50,50,718000
29,50,50,773000
29,50,50,712000
29,50,50,721000
29,50,50,705000
29,50,50,712000
29,50,50,712000
29,50,50,718000
29,50,50,715000
29,50,50,850000
29,50,50,806000
29,50,50,705000
29,50,50,705000
29,50,50,722000
29,50,50,733000
29,50,50,711000
29,50,50,713000
29,50,50,702000
29,50,50,855000
29,50,50,721000
29,50,50,730000
29,50,50,735000
29,50,50,719000
29,50,50,707000
29,50,50,712000
29,50,50,695000
29,50,50,742000
29,50,50,749000
29,50,50,712000
29,50,50,709000
29,50,50,786000
29,50,50,716000
29,50,50,713000
29,50,50,714000
29,50,50,711000
29,50,50,764000
29,50,50,725000
29,50,50,689000
29,50,50,707000
29,50,50,751000
29,50,50,713000
29,50,50,701000
29,50,50,728000
29,50,50,800000
29,50,50,794000
29,50,50,701000
29,50,50,746000
33,50,50,724000
33,50,50,719000
33,50,50,731000
33,50,50,730000
33,50,50,748000
33,50,50,723000
33,50,50,724000
33,50,50,796000
33,50,50,736000
33,50,50,723000
33,50,50,713000
33,50,50,740000
33,50,50,718000
33,50,50,734000
33,50,50,713000
33,50,50,714000
33,50,50,724000
33,50,50,766000
33,50,50,711000
33,50,50,719000
33,50,50,964000
33,50,50,781000
33,50,50,720000
33,50,50,720000
33,50,50,720000
33,50,50,705000
33,50,50,720000
33,50,50,726000
33,50,50,737000
33,50,50,706000
33,50,50,726000
33,50,50,709000
33,50,50,733000
33,50,50,735000
33,50,50,728000
33,50,50,709000
33,50,50,708000
33,50,50,728000
33,50,50,724000
33,50,50,746000
33,50,50,732000
33,50,50,728000
33,50,50,718000
33,50,50,775000
33,50,50,725000
33,50,50,709000
33,50,50,725000
33,50,50,731000
33,50,50,766000
33,50,50,711000
33,50,50,727000
33,50,50,822000
33,50,50,695000
33,50,50,669000
33,50,50,715000
33,50,50,711000
33,50,50,698000
33,50,50,717000
33,50,50,777000
33,50,50,711000
33,50,50,727000
33,50,50,711000
33,50,50,726000
33,50,50,730000
33,50,50,726000
33,50,50,716000
33,50,50,714000
33,50,50,727000
33,50,50,733000
33,50,50,720000
33,50,50,723000
33,50,50,729000
33,50,50,715000
33,50,50,714000
33,50,50,706000
33,50,50,717000
33,50,50,938000
33,50,50,729000
33,50,50,726000
33,50,50,727000
33,50,50,726000
33,50,50,722000
33,50,50,716000
33,50,50,720000
33,50,50,729000
33,50,50,760000
33,50,50,725000
33,50,50,714000
33,50,50,714000
33,50,50,746000
33,50,50,759000
33,50,50,723000
33,50,50,737000
33,50,50,718000
33,50,50,720000
33,50,50,717000
33,50,50,718000
33,50,50,725000
33,50,50,696000
33,50,50,721000
37,50,50,846000
37,50,50,951000
37,50,50,734000
37,50,50,726000
37,50,50,730000
37,50,50,743000
37,50,50,724000
37,50,50,733000
37,50,50,726000
37,50,50,737000
37,50,50,730000
37,50,50,732000
37,50,50,729000
37,50,50,762000
37,50,50,737000
37,50,50,797000
37,50,50,740000
37,50,50,722000
37,50,50,728000
37,50,50,720000
37,50,50,733000
37,50,50,724000
37,50,50,724000
37,50,50,750000
37,50,50,738000
37,50,50,719000
37,50,50,719000
37,50,50,728000
37,50,50,731000
37,50,50,727000
37,50,50,718000
37,50,50,868000
37,50,50,731000
37,50,50,736000
37,50,50,731000
