Pallet: "vesting", Extrinsic: "vest_other", Lowest values: [], Highest values: [], Steps: [10], Repeat: 100
b,l,extrinsic_time,storage_root_time
1,6,392000,69000
1,6,381000,70000
1,6,226000,69000
1,6,426000,69000
1,6,215000,70000
1,6,218000,69000
1,6,221000,71000
1,6,401000,69000
1,6,415000,70000
1,6,228000,72000
1,6,408000,70000
1,6,233000,72000
1,6,465000,91000
1,6,454000,85000
1,6,468000,90000
1,6,452000,72000
1,6,396000,69000
1,6,217000,69000
1,6,374000,69000
1,6,220000,69000
1,6,219000,69000
1,6,225000,70000
1,6,216000,71000
1,6,367000,70000
1,6,395000,69000
1,6,385000,76000
1,6,385000,69000
1,6,481000,78000
1,6,390000,70000
1,6,427000,70000
1,6,218000,68000
1,6,216000,69000
1,6,435000,70000
1,6,366000,73000
1,6,438000,73000
1,6,386000,69000
1,6,372000,69000
1,6,384000,69000
1,6,438000,70000
1,6,385000,74000
1,6,357000,72000
1,6,403000,71000
1,6,362000,70000
1,6,221000,70000
1,6,224000,71000
1,6,393000,74000
1,6,371000,73000
1,6,387000,75000
1,6,218000,70000
1,6,421000,70000
1,6,222000,71000
1,6,358000,73000
1,6,366000,73000
1,6,426000,74000
1,6,372000,75000
1,6,344000,73000
1,6,485000,83000
1,6,452000,90000
1,6,447000,87000
1,6,462000,73000
1,6,351000,69000
1,6,428000,72000
1,6,226000,71000
1,6,415000,71000
1,6,438000,75000
1,6,423000,73000
1,6,387000,70000
1,6,521000,74000
1,6,409000,69000
1,6,365000,71000
1,6,438000,69000
1,6,369000,71000
1,6,392000,70000
1,6,434000,72000
1,6,404000,69000
1,6,409000,70000
1,6,218000,69000
1,6,215000,71000
1,8,224000,70000
1,8,220000,72000
1,8,618000,123000
1,8,232000,73000
1,8,381000,71000
1,8,443000,73000
1,8,436000,71000
1,8,385000,72000
1,8,228000,71000
1,8,393000,74000
1,8,443000,71000
1,8,230000,71000
1,8,222000,71000
1,8,359000,72000
1,8,219000,70000
1,8,378000,73000
1,8,377000,72000
1,8,407000,77000
1,8,501000,77000
1,8,509000,86000
1,8,463000,91000
1,8,493000,76000
1,8,366000,72000
1,8,429000,72000
1,8,414000,71000
1,8,228000,71000
1,8,417000,70000
1,8,226000,70000
1,8,223000,70000
1,8,225000,69000
1,8,228000,72000
1,8,225000,72000
1,8,225000,71000
1,8,219000,69000
1,8,225000,71000
1,8,421000,70000
1,8,224000,72000
1,8,221000,71000
1,8,441000,71000
1,8,373000,76000
1,8,388000,76000
1,8,232000,74000
1,8,404000,72000
1,8,224000,72000
1,8,224000,72000
1,8,223000,70000
1,8,504000,71000
1,8,225000,70000
1,8,224000,71000
1,8,395000,70000
1,8,364000,71000
1,8,383000,70000
1,8,228000,71000
1,8,497000,78000
1,8,398000,71000
1,8,228000,71000
1,8,377000,70000
1,8,223000,71000
1,8,364000,68000
1,8,240000,73000
1,8,389000,74000
1,8,490000,86000
1,8,274000,86000
1,8,464000,74000
1,8,225000,70000
1,8,224000,71000
1,8,377000,72000
1,8,376000,80000
1,8,371000,72000
1,8,224000,69000
1,8,396000,70000
1,8,372000,73000
1,8,420000,73000
1,8,410000,73000
1,8,384000,73000
1,8,399000,71000
1,8,222000,69000
1,8,225000,71000
1,8,378000,71000
1,8,443000,75000
1,8,380000,73000
1,8,222000,70000
1,8,220000,69000
1,8,415000,71000
1,8,415000,70000
1,8,357000,72000
1,8,220000,70000
1,8,440000,76000
1,8,361000,70000
1,8,385000,72000
1,8,437000,72000
1,8,495000,85000
1,8,485000,83000
1,8,371000,74000
1,8,426000,73000
1,8,421000,72000
1,8,408000,76000
1,8,226000,71000
1,8,434000,72000
1,8,385000,72000
1,10,390000,70000
1,10,420000,80000
1,10,498000,86000
1,10,454000,85000
1,10,496000,91000
1,10,401000,72000
1,10,368000,72000
1,10,385000,71000
1,10,229000,72000
1,10,402000,70000
1,10,415000,74000
1,10,374000,75000
1,10,221000,70000
1,10,385000,71000
1,10,383000,71000
1,10,224000,72000
1,10,373000,72000
1,10,225000,70000
1,10,398000,70000
1,10,438000,69000
1,10,373000,70000
1,10,224000,70000
1,10,430000,75000
1,10,406000,71000
1,10,226000,70000
1,10,227000,69000
1,10,427000,72000
1,10,370000,76000
1,10,385000,72000
1,10,412000,73000
1,10,231000,73000
1,10,377000,76000
1,10,218000,71000
1,10,437000,71000
1,10,225000,71000
1,10,408000,72000
1,10,373000,70000
1,10,386000,72000
1,10,453000,72000
1,10,435000,70000
1,10,225000,70000
1,10,233000,71000
1,10,439000,77000
1,10,499000,86000
1,10,469000,88000
1,10,519000,86000
1,10,395000,75000
1,10,379000,76000
1,10,226000,72000
1,10,225000,72000
1,10,222000,69000
1,10,403000,70000
1,10,222000,69000
1,10,405000,77000
1,10,445000,82000
1,10,408000,75000
1,10,369000,80000
1,10,225000,72000
1,10,378000,71000
1,10,419000,71000
1,10,221000,71000
1,10,225000,71000
1,10,225000,70000
1,10,435000,71000
1,10,225000,70000
1,10,221000,69000
1,10,421000,75000
1,10,387000,74000
1,10,225000,69000
1,10,225000,70000
1,10,222000,70000
1,10,224000,71000
1,10,405000,70000
1,10,409000,62000
1,10,410000,72000
1,10,411000,76000
1,10,402000,69000
1,10,419000,74000
1,10,226000,71000
1,10,373000,71000
1,10,467000,75000
1,10,221000,71000
1,10,376000,76000
1,10,227000,72000
1,10,226000,72000
1,10,409000,80000
1,10,505000,85000
1,10,271000,84000
1,10,516000,93000
1,10,421000,72000
1,10,410000,71000
1,10,405000,72000
1,10,227000,71000
1,10,440000,79000
1,10,227000,71000
1,10,225000,71000
1,10,226000,71000
1,10,414000,73000
1,10,422000,72000
1,10,226000,71000
1,12,225000,70000
1,12,446000,77000
1,12,225000,72000
1,12,226000,71000
1,12,225000,70000
1,12,226000,70000
1,12,403000,79000
1,12,225000,71000
1,12,230000,73000
1,12,226000,72000
1,12,444000,76000
1,12,236000,73000
1,12,413000,71000
1,12,392000,74000
1,12,386000,72000
1,12,228000,71000
1,12,421000,72000
1,12,431000,75000
1,12,382000,74000
1,12,225000,71000
1,12,231000,72000
1,12,231000,72000
1,12,450000,73000
1,12,225000,95000
1,12,447000,72000
1,12,403000,75000
1,12,429000,77000
1,12,460000,86000
1,12,495000,87000
1,12,279000,87000
1,12,452000,77000
1,12,227000,71000
1,12,420000,72000
1,12,225000,71000
1,12,227000,73000
1,12,405000,81000
1,12,228000,72000
1,12,418000,71000
1,12,391000,70000
1,12,404000,71000
1,12,400000,71000
1,12,226000,71000
1,12,422000,74000
1,12,402000,76000
1,12,418000,72000
1,12,224000,70000
1,12,232000,72000
1,12,412000,73000
1,12,223000,71000
1,12,224000,71000
1,12,373000,70000
1,12,429000,72000
1,12,226000,71000
1,12,444000,73000
1,12,384000,75000
1,12,228000,73000
1,12,433000,72000
1,12,380000,72000
1,12,225000,71000
1,12,229000,71000
1,12,228000,71000
1,12,224000,77000
1,12,224000,70000
1,12,383000,77000
1,12,408000,73000
1,12,401000,79000
1,12,222000,70000
1,12,242000,75000
1,12,501000,85000
1,12,456000,87000
1,12,478000,91000
1,12,426000,74000
1,12,477000,77000
1,12,422000,73000
1,12,401000,78000
1,12,221000,70000
1,12,223000,70000
1,12,228000,71000
1,12,399000,69000
1,12,225000,71000
1,12,349000,86000
1,12,421000,74000
1,12,226000,72000
1,12,229000,72000
1,12,478000,71000
1,12,431000,70000
1,12,431000,71000
1,12,403000,73000
1,12,388000,69000
1,12,455000,70000
1,12,227000,70000
1,12,227000,72000
1,12,225000,72000
1,12,227000,73000
1,12,223000,70000
1,12,228000,70000
1,12,225000,71000
1,12,394000,74000
1,12,435000,76000
1,12,383000,72000
1,14,224000,71000
1,14,443000,75000
1,14,382000,76000
1,14,464000,77000
1,14,372000,74000
1,14,406000,72000
1,14,224000,71000
1,14,386000,75000
1,14,226000,72000
1,14,225000,71000
1,14,235000,72000
1,14,412000,76000
1,14,529000,89000
1,14,473000,89000
1,14,512000,87000
1,14,533000,113000
1,14,420000,71000
1,14,414000,76000
