Pallet: "treasury", Extrinsic: "reject_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
580,43439,2246,2,7,3,3
580,43454,2295,2,7,3,3
580,43053,2187,2,7,3,3
580,43468,2316,2,7,3,3
580,43163,2264,2,7,3,3
580,43995,2255,2,7,3,3
580,42917,2229,2,7,3,3
580,43072,2255,2,7,3,3
580,43351,2272,2,7,3,3
580,43274,2194,2,7,3,3
580,43522,2316,2,7,3,3
600,43235,2317,2,7,3,3
600,43438,2273,2,7,3,3
600,43308,2321,2,7,3,3
600,43573,2321,2,7,3,3
600,43190,2304,2,7,3,3
600,43467,2279,2,7,3,3
600,43437,2248,2,7,3,3
600,43435,2298,2,7,3,3
600,43396,2301,2,7,3,3
600,43212,2243,2,7,3,3
600,43558,2259,2,7,3,3
600,43997,2277,2,7,3,3
600,43465,2207,2,7,3,3
600,43379,2314,2,7,3,3
600,46442,2251,2,7,3,3
600,43360,2283,2,7,3,3
600,43511,2208,2,7,3,3
600,43336,2329,2,7,3,3
600,42951,2250,2,7,3,3
600,43328,2265,2,7,3,3
620,43229,2253,2,7,3,3
620,43656,2313,2,7,3,3
620,43840,2304,2,7,3,3
620,44130,2305,2,7,3,3
620,43429,2216,2,7,3,3
620,43544,2318,2,7,3,3
620,43701,2241,2,7,3,3
620,43997,2256,2,7,3,3
620,44042,2250,2,7,3,3
620,43928,2240,2,7,3,3
620,43674,2245,2,7,3,3
620,43779,2283,2,7,3,3
620,43850,2243,2,7,3,3
620,43923,2274,2,7,3,3
620,43597,2237,2,7,3,3
620,44366,2288,2,7,3,3
620,44248,2265,2,7,3,3
620,43811,2297,2,7,3,3
620,43754,2240,2,7,3,3
620,43832,2322,2,7,3,3
640,43903,2307,2,7,3,3
640,44274,2291,2,7,3,3
640,44311,2229,2,7,3,3
640,43541,2279,2,7,3,3
640,47172,2293,2,7,3,3
640,43497,2349,2,7,3,3
640,44033,2284,2,7,3,3
640,43618,2371,2,7,3,3
640,43567,2393,2,7,3,3
640,43387,2273,2,7,3,3
640,43691,2320,2,7,3,3
640,43769,2331,2,7,3,3
640,43995,2311,2,7,3,3
640,43669,2291,2,7,3,3
640,43765,2261,2,7,3,3
640,43432,2263,2,7,3,3
640,43774,2274,2,7,3,3
640,44259,2211,2,7,3,3
640,43598,2231,2,7,3,3
640,44120,2317,2,7,3,3
660,44023,2292,2,7,3,3
660,44388,2303,2,7,3,3
660,43698,2312,2,7,3,3
660,43818,2247,2,7,3,3
660,43828,2302,2,7,3,3
660,43677,2367,2,7,3,3
660,43845,2391,2,7,3,3
660,44229,2301,2,7,3,3
660,43385,2302,2,7,3,3
660,43657,2308,2,7,3,3
660,43489,2304,2,7,3,3
660,44263,2360,2,7,3,3
660,43611,2323,2,7,3,3
660,43624,2288,2,7,3,3
660,43394,2264,2,7,3,3
660,43912,2313,2,7,3,3
660,44062,2389,2,7,3,3
660,43910,2351,2,7,3,3
660,43395,2369,2,7,3,3
660,43597,2307,2,7,3,3
680,43119,2290,2,7,3,3
680,43390,2203,2,7,3,3
680,43630,2260,2,7,3,3
680,43521,2229,2,7,3,3
680,43209,2231,2,7,3,3
680,43447,2285,2,7,3,3
680,43289,2210,2,7,3,3
680,43266,2233,2,7,3,3
680,43296,2215,2,7,3,3
680,43191,2294,2,7,3,3
680,43386,2248,2,7,3,3
680,43295,2227,2,7,3,3
680,43272,2219,2,7,3,3
680,43058,2244,2,7,3,3
680,43149,2178,2,7,3,3
680,43303,2182,2,7,3,3
680,43097,2188,2,7,3,3
680,43420,2144,2,7,3,3
680,43295,2249,2,7,3,3
680,43091,2185,2,7,3,3
700,42210,2260,2,7,3,3
700,42889,2313,2,7,3,3
700,42507,2223,2,7,3,3
700,42481,2318,2,7,3,3
700,42659,2346,2,7,3,3
700,42322,2311,2,7,3,3
700,42392,2265,2,7,3,3
700,42439,2277,2,7,3,3
700,42396,2200,2,7,3,3
700,42554,2199,2,7,3,3
700,42765,2176,2,7,3,3
700,42893,2200,2,7,3,3
700,42716,2360,2,7,3,3
700,42972,2194,2,7,3,3
700,42712,2292,2,7,3,3
700,42946,2279,2,7,3,3
700,42529,2368,2,7,3,3
700,42373,2250,2,7,3,3
700,42201,2257,2,7,3,3
700,42524,2198,2,7,3,3
720,43560,2262,2,7,3,3
720,43361,2291,2,7,3,3
720,43506,2361,2,7,3,3
720,43229,2293,2,7,3,3
720,43256,2262,2,7,3,3
720,43586,2310,2,7,3,3
720,43390,2291,2,7,3,3
720,43694,2195,2,7,3,3
720,42918,2292,2,7,3,3
720,43267,2433,2,7,3,3
720,44061,2318,2,7,3,3
720,43503,2243,2,7,3,3
720,43267,2286,2,7,3,3
720,43841,2253,2,7,3,3
720,43520,2373,2,7,3,3
720,44244,2266,2,7,3,3
720,43644,2366,2,7,3,3
720,43875,2249,2,7,3,3
720,43884,2334,2,7,3,3
720,43267,2204,2,7,3,3
740,43048,2244,2,7,3,3
740,43014,2272,2,7,3,3
740,42943,2282,2,7,3,3
740,42442,2201,2,7,3,3
740,42725,2246,2,7,3,3
740,42980,2301,2,7,3,3
740,43088,2367,2,7,3,3
740,42828,2239,2,7,3,3
740,42481,2329,2,7,3,3
740,42565,2282,2,7,3,3
740,42593,2286,2,7,3,3
740,42490,2199,2,7,3,3
740,42922,2260,2,7,3,3
740,42888,2220,2,7,3,3
740,42852,2209,2,7,3,3
740,42329,2300,2,7,3,3
740,42982,2214,2,7,3,3
740,42935,2308,2,7,3,3
740,42868,2292,2,7,3,3
740,42733,2292,2,7,3,3
760,42939,2324,2,7,3,3
760,43247,2304,2,7,3,3
760,43339,2271,2,7,3,3
760,43086,2234,2,7,3,3
760,43825,2296,2,7,3,3
760,43380,2247,2,7,3,3
760,43251,2266,2,7,3,3
760,43226,2208,2,7,3,3
760,43216,2256,2,7,3,3
760,43039,2196,2,7,3,3
760,43594,2302,2,7,3,3
760,43094,2285,2,7,3,3
760,43322,2276,2,7,3,3
760,43040,2222,2,7,3,3
760,42970,2261,2,7,3,3
760,42951,2268,2,7,3,3
760,43241,2288,2,7,3,3
760,43036,2238,2,7,3,3
760,43256,2284,2,7,3,3
760,42935,2293,2,7,3,3
780,43689,2285,2,7,3,3
780,43082,2212,2,7,3,3
780,43143,2230,2,7,3,3
780,43294,2310,2,7,3,3
780,43326,2209,2,7,3,3
780,43137,2291,2,7,3,3
780,43036,2241,2,7,3,3
780,43572,2234,2,7,3,3
780,42849,2269,2,7,3,3
780,42751,2344,2,7,3,3
780,43023,2315,2,7,3,3
780,43594,2259,2,7,3,3
780,42845,2180,2,7,3,3
780,43222,2214,2,7,3,3
780,43144,2319,2,7,3,3
780,43184,2387,2,7,3,3
780,42908,2282,2,7,3,3
780,43138,2338,2,7,3,3
780,43689,2324,2,7,3,3
780,42975,2269,2,7,3,3
800,43468,2373,2,7,3,3
800,43357,2354,2,7,3,3
800,43285,2369,2,7,3,3
800,43371,2308,2,7,3,3
800,43341,2306,2,7,3,3
800,43450,2315,2,7,3,3
800,43161,2275,2,7,3,3
800,43361,2262,2,7,3,3
800,43244,2303,2,7,3,3
800,43090,2386,2,7,3,3
800,43185,2304,2,7,3,3
800,43185,2237,2,7,3,3
800,43214,2317,2,7,3,3
800,43314,2268,2,7,3,3
800,43173,2243,2,7,3,3
800,43596,2315,2,7,3,3
800,43183,2352,2,7,3,3
800,42823,2276,2,7,3,3
800,43030,2298,2,7,3,3
800,43158,2398,2,7,3,3
820,43489,2337,2,7,3,3
820,43245,2253,2,7,3,3
820,43325,2249,2,7,3,3
820,43450,2265,2,7,3,3
820,44268,2368,2,7,3,3
820,43723,2222,2,7,3,3
820,43458,2283,2,7,3,3
820,43878,2322,2,7,3,3
820,43417,2367,2,7,3,3
820,43674,2399,2,7,3,3
820,43860,2337,2,7,3,3
820,44030,2309,2,7,3,3
820,44291,2255,2,7,3,3
820,43473,2308,2,7,3,3
820,43667,2338,2,7,3,3
820,43473,2318,2,7,3,3
820,43538,2303,2,7,3,3
820,43526,2297,2,7,3,3
820,43178,2280,2,7,3,3
820,43480,2302,2,7,3,3
840,44488,2339,2,7,3,3
840,43610,2324,2,7,3,3
840,43540,2338,2,7,3,3
840,43541,2341,2,7,3,3
840,43066,2403,2,7,3,3
840,43675,2317,2,7,3,3
840,43142,2383,2,7,3,3
840,43220,2344,2,7,3,3
840,43368,2641,2,7,3,3
840,43871,2354,2,7,3,3
840,43918,2354,2,7,3,3
