Pallet: "treasury", Extrinsic: "award_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
300,27263,2288,1,5,1,2
300,27528,2327,1,5,1,2
300,27305,2281,1,5,1,2
300,27378,2245,1,5,1,2
300,27176,2390,1,5,1,2
300,27298,2327,1,5,1,2
300,27217,2250,1,5,1,2
300,27305,2259,1,5,1,2
300,27360,2198,1,5,1,2
300,27457,2210,1,5,1,2
300,27425,2258,1,5,1,2
300,27306,2227,1,5,1,2
300,26898,2195,1,5,1,2
300,27004,2301,1,5,1,2
300,27397,2300,1,5,1,2
300,27472,2259,1,5,1,2
300,27354,2220,1,5,1,2
300,27514,2365,1,5,1,2
300,27091,2275,1,5,1,2
320,27167,2213,1,5,1,2
320,27583,2279,1,5,1,2
320,27403,2277,1,5,1,2
320,27220,2233,1,5,1,2
320,27351,2203,1,5,1,2
320,27289,2180,1,5,1,2
320,27059,2208,1,5,1,2
320,27135,2216,1,5,1,2
320,27021,2235,1,5,1,2
320,27371,2196,1,5,1,2
320,27108,2259,1,5,1,2
320,27836,2252,1,5,1,2
320,26996,2225,1,5,1,2
320,27391,2221,1,5,1,2
320,27364,2272,1,5,1,2
320,27542,2201,1,5,1,2
320,27118,2203,1,5,1,2
320,27038,2187,1,5,1,2
320,27434,2279,1,5,1,2
320,26914,2249,1,5,1,2
340,27546,2196,1,5,1,2
340,27308,2218,1,5,1,2
340,27843,2353,1,5,1,2
340,27846,2256,1,5,1,2
340,27888,2287,1,5,1,2
340,27389,2135,1,5,1,2
340,27418,2260,1,5,1,2
340,27160,2319,1,5,1,2
340,27636,2168,1,5,1,2
340,27643,2236,1,5,1,2
340,27345,2190,1,5,1,2
340,27702,2236,1,5,1,2
340,27585,2199,1,5,1,2
340,27636,2240,1,5,1,2
340,27328,2201,1,5,1,2
340,27103,2267,1,5,1,2
340,27453,2292,1,5,1,2
340,27839,2333,1,5,1,2
340,27476,2233,1,5,1,2
340,27284,2241,1,5,1,2
360,27428,2335,1,5,1,2
360,27621,2300,1,5,1,2
360,27182,2306,1,5,1,2
360,27381,2252,1,5,1,2
360,27118,2235,1,5,1,2
360,27276,2217,1,5,1,2
360,27571,2326,1,5,1,2
360,27481,2237,1,5,1,2
360,27469,2281,1,5,1,2
360,27453,2326,1,5,1,2
360,27521,2273,1,5,1,2
360,27413,2268,1,5,1,2
360,27765,2264,1,5,1,2
360,27765,2242,1,5,1,2
360,27375,2197,1,5,1,2
360,27408,2344,1,5,1,2
360,27482,2233,1,5,1,2
360,27369,2252,1,5,1,2
360,27425,2272,1,5,1,2
360,27389,2281,1,5,1,2
380,27992,2255,1,5,1,2
380,27686,2330,1,5,1,2
380,27747,2317,1,5,1,2
380,27619,2243,1,5,1,2
380,27782,2223,1,5,1,2
380,27524,2205,1,5,1,2
380,27496,2247,1,5,1,2
380,27306,2198,1,5,1,2
380,27926,2243,1,5,1,2
380,27648,2253,1,5,1,2
380,27895,2237,1,5,1,2
380,27540,2256,1,5,1,2
380,27808,2298,1,5,1,2
380,27530,2343,1,5,1,2
380,27460,2254,1,5,1,2
380,27845,2309,1,5,1,2
380,27613,2342,1,5,1,2
