Pallet: "treasury", Extrinsic: "report_awesome", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
9810,68799,2250,2,8,2,3
9810,68715,2233,2,8,2,3
9810,68202,2297,2,8,2,3
9810,68523,2234,2,8,2,3
9810,68362,2166,2,8,2,3
9810,68428,2302,2,8,2,3
9810,68570,2220,2,8,2,3
9810,69087,2261,2,8,2,3
9810,68637,2303,2,8,2,3
9810,68958,2338,2,8,2,3
9810,68735,2288,2,8,2,3
9810,68275,2307,2,8,2,3
9810,68138,2262,2,8,2,3
9810,68247,2288,2,8,2,3
9810,68676,2166,2,8,2,3
9810,68620,2243,2,8,2,3
9810,68028,2229,2,8,2,3
9810,68791,2157,2,8,2,3
9810,68455,2237,2,8,2,3
9810,68276,2356,2,8,2,3
10137,71243,2189,2,8,2,3
10137,69388,2121,2,8,2,3
10137,69041,2298,2,8,2,3
10137,69667,2189,2,8,2,3
10137,69838,2293,2,8,2,3
10137,69458,2183,2,8,2,3
10137,69965,2200,2,8,2,3
10137,69445,2136,2,8,2,3
10137,69333,2131,2,8,2,3
10137,69722,2216,2,8,2,3
10137,69492,2134,2,8,2,3
10137,68808,2261,2,8,2,3
10137,69354,2233,2,8,2,3
10137,69200,2171,2,8,2,3
10137,68920,2256,2,8,2,3
10137,68568,2214,2,8,2,3
10137,69073,2162,2,8,2,3
10137,69280,2239,2,8,2,3
10137,69108,2185,2,8,2,3
10137,69107,2207,2,8,2,3
10464,69812,2337,2,8,2,3
10464,70161,2296,2,8,2,3
10464,70479,2278,2,8,2,3
10464,69913,2190,2,8,2,3
10464,69962,2196,2,8,2,3
10464,70020,2240,2,8,2,3
10464,70271,2198,2,8,2,3
10464,70071,2245,2,8,2,3
10464,70549,2257,2,8,2,3
10464,101528,2246,2,8,2,3
10464,70105,2281,2,8,2,3
10464,70461,2277,2,8,2,3
10464,71135,2250,2,8,2,3
10464,70887,2268,2,8,2,3
10464,70348,2178,2,8,2,3
10464,70343,2261,2,8,2,3
10464,70389,2163,2,8,2,3
10464,70194,2171,2,8,2,3
10464,70246,2174,2,8,2,3
10464,69764,2248,2,8,2,3
10791,70184,2337,2,8,2,3
10791,70334,2314,2,8,2,3
10791,70815,2338,2,8,2,3
10791,70797,2290,2,8,2,3
10791,70543,2310,2,8,2,3
10791,70582,2295,2,8,2,3
10791,70660,2314,2,8,2,3
10791,70513,2323,2,8,2,3
10791,70755,2290,2,8,2,3
10791,71207,2366,2,8,2,3
10791,70526,2216,2,8,2,3
10791,70652,2238,2,8,2,3
10791,70783,2275,2,8,2,3
10791,70655,2307,2,8,2,3
10791,70485,2222,2,8,2,3
10791,70446,2316,2,8,2,3
10791,70175,2290,2,8,2,3
10791,70526,2256,2,8,2,3
10791,70312,2220,2,8,2,3
10791,70152,2286,2,8,2,3
11118,71215,2235,2,8,2,3
11118,71181,2235,2,8,2,3
11118,70982,2153,2,8,2,3
11118,70633,2282,2,8,2,3
11118,71432,2225,2,8,2,3
11118,71016,2301,2,8,2,3
11118,70818,2252,2,8,2,3
11118,71008,2270,2,8,2,3
11118,70439,2261,2,8,2,3
11118,72638,2373,2,8,2,3
11118,71415,2258,2,8,2,3
11118,70641,2283,2,8,2,3
11118,71052,2244,2,8,2,3
11118,71028,2276,2,8,2,3
11118,71362,2241,2,8,2,3
11118,70926,2320,2,8,2,3
11118,70809,2352,2,8,2,3
11118,71272,2281,2,8,2,3
11118,71419,2317,2,8,2,3
11118,70671,2203,2,8,2,3
11445,71915,2296,2,8,2,3
11445,71211,2212,2,8,2,3
11445,71817,2195,2,8,2,3
11445,71405,2189,2,8,2,3
11445,71781,2234,2,8,2,3
11445,71893,2242,2,8,2,3
11445,71950,2287,2,8,2,3
11445,71912,2229,2,8,2,3
11445,71380,2274,2,8,2,3
11445,71487,2352,2,8,2,3
11445,71413,2184,2,8,2,3
11445,71321,2242,2,8,2,3
11445,71598,2270,2,8,2,3
11445,71670,2190,2,8,2,3
11445,71397,2311,2,8,2,3
11445,71315,2223,2,8,2,3
11445,71080,2184,2,8,2,3
11445,71228,2128,2,8,2,3
11445,71504,2227,2,8,2,3
11445,71463,2327,2,8,2,3
11772,71600,2282,2,8,2,3
11772,72159,2234,2,8,2,3
11772,71578,2152,2,8,2,3
11772,71469,2158,2,8,2,3
11772,71801,2148,2,8,2,3
11772,72093,2168,2,8,2,3
11772,71719,2166,2,8,2,3
11772,71944,2165,2,8,2,3
11772,71675,2304,2,8,2,3
11772,72099,2316,2,8,2,3
11772,71720,2247,2,8,2,3
11772,72477,2246,2,8,2,3
11772,71608,2217,2,8,2,3
11772,71979,2284,2,8,2,3
11772,71858,2214,2,8,2,3
11772,71795,2257,2,8,2,3
11772,71275,2240,2,8,2,3
11772,72474,2316,2,8,2,3
11772,72110,2255,2,8,2,3
11772,72185,2291,2,8,2,3
12099,72525,2156,2,8,2,3
