Pallet: "treasury", Extrinsic: "cancel_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
360,65843,2569,2,13,3,3
360,66550,2331,2,13,3,3
360,66398,2340,2,13,3,3
360,66424,2268,2,13,3,3
360,66021,2309,2,13,3,3
360,65653,2327,2,13,3,3
360,65781,2274,2,13,3,3
360,65552,2360,2,13,3,3
380,66136,2311,2,13,3,3
380,65693,2364,2,13,3,3
380,65862,2342,2,13,3,3
380,65968,2388,2,13,3,3
380,66231,2403,2,13,3,3
380,66326,2366,2,13,3,3
380,65891,2339,2,13,3,3
380,65957,2373,2,13,3,3
380,66009,2364,2,13,3,3
380,66567,2321,2,13,3,3
380,65992,2372,2,13,3,3
380,66242,2383,2,13,3,3
380,66458,2399,2,13,3,3
380,65947,2345,2,13,3,3
380,65998,2289,2,13,3,3
380,66052,2344,2,13,3,3
380,69393,2370,2,13,3,3
380,66537,2392,2,13,3,3
380,65827,2329,2,13,3,3
380,66297,2356,2,13,3,3
400,66042,2374,2,13,3,3
400,65869,2285,2,13,3,3
400,66179,2295,2,13,3,3
400,66262,2345,2,13,3,3
400,65967,2423,2,13,3,3
400,65439,2368,2,13,3,3
400,65507,2440,2,13,3,3
400,69086,2387,2,13,3,3
400,65970,2392,2,13,3,3
400,65999,2390,2,13,3,3
400,65400,2295,2,13,3,3
400,66155,2341,2,13,3,3
400,65999,2336,2,13,3,3
400,65927,2386,2,13,3,3
400,65452,2289,2,13,3,3
400,65585,2406,2,13,3,3
400,64986,2342,2,13,3,3
400,65318,2372,2,13,3,3
400,74062,2398,2,13,3,3
400,65630,2313,2,13,3,3
420,65313,2375,2,13,3,3
420,65168,2338,2,13,3,3
420,65299,2342,2,13,3,3
420,65176,2363,2,13,3,3
420,64974,2308,2,13,3,3
420,65079,2379,2,13,3,3
420,64916,2472,2,13,3,3
420,65180,2375,2,13,3,3
420,65655,2318,2,13,3,3
420,68674,2379,2,13,3,3
420,65351,2320,2,13,3,3
420,64896,2236,2,13,3,3
420,65208,2328,2,13,3,3
420,65866,2359,2,13,3,3
420,65718,2301,2,13,3,3
420,65154,2274,2,13,3,3
420,65126,2305,2,13,3,3
420,65574,2303,2,13,3,3
420,65154,2279,2,13,3,3
420,65688,2298,2,13,3,3
440,65917,2344,2,13,3,3
440,65659,2392,2,13,3,3
440,65493,2401,2,13,3,3
440,65603,2292,2,13,3,3
440,65848,2298,2,13,3,3
440,65647,2424,2,13,3,3
440,65837,2365,2,13,3,3
440,65576,2324,2,13,3,3
440,65916,2354,2,13,3,3
440,65619,2388,2,13,3,3
440,65361,2397,2,13,3,3
440,65775,2313,2,13,3,3
440,65863,2339,2,13,3,3
440,65441,2397,2,13,3,3
440,65268,2327,2,13,3,3
440,65084,2394,2,13,3,3
440,65901,2328,2,13,3,3
440,65741,2321,2,13,3,3
440,65622,2390,2,13,3,3
440,65577,2357,2,13,3,3
460,64925,2339,2,13,3,3
460,65298,2287,2,13,3,3
