Pallet: "multisig", Extrinsic: "as_multi_threshold_1", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
z,extrinsic_time,storage_root_time
9000,46496,18209
9000,46490,18419
9000,46846,18183
9000,46260,18238
9000,46680,18236
9000,49330,18187
9000,48932,18146
9000,46283,18317
9000,48589,18035
9000,46894,18658
9000,49808,18402
9200,46808,18392
9200,46809,18279
9200,46583,18081
9200,46761,18496
9200,46800,18319
9200,50147,18453
9200,50057,18163
9200,46567,18265
9200,50191,18373
9200,46719,18026
9200,49917,18228
9200,49626,18142
9200,47072,18191
9200,46814,18156
9200,46872,18147
9200,47034,18435
9200,46764,18063
9200,47178,18197
9200,46861,18131
9200,46946,18282
9400,47332,18173
9400,47150,17889
9400,47280,18296
9400,50038,18091
9400,47020,18415
9400,50022,18003
9400,47171,18607
9400,46794,18236
9400,49999,18196
9400,49969,18376
9400,50306,18148
9400,50788,18239
9400,50676,18335
9400,50232,17974
9400,50059,17620
9400,50278,18374
9400,50179,18325
9400,50655,18246
9400,50282,18332
9400,49919,18143
9600,50999,17977
9600,50525,18197
9600,47733,17860
9600,50797,18231
9600,50506,18257
9600,48585,18871
9600,51154,18391
9600,50623,18022
9600,50427,18256
9600,53688,18522
9600,50693,18214
9600,50462,18415
9600,50854,17938
9600,47489,18246
9600,50885,18189
9600,47141,18070
9600,50257,20880
9600,47192,18302
9600,50704,18045
9600,51100,18494
9800,51234,18383
9800,51296,18324
9800,51804,18495
9800,50891,18405
9800,50825,18153
9800,51304,18507
9800,50794,18152
9800,50809,18359
9800,50689,18401
9800,50666,18197
9800,53719,18276
9800,50502,18208
9800,51225,18347
9800,47942,18118
9800,47953,18412
9800,51429,18376
9800,50439,18075
9800,53612,18514
9800,51136,18172
9800,50908,18209
10000,51403,18323
10000,48197,18216
10000,48685,18472
10000,48436,18279
10000,51715,18483
10000,51888,18697
10000,48056,18286
10000,51556,18318
10000,51359,18319
10000,48090,18526
10000,51741,18275
10000,48675,18320
10000,51208,18223
10000,51465,18387
10000,48197,18308
10000,48170,18004
10000,51369,18087
10000,51162,17819
10000,49143,18508
10000,51198,18413

Median Slopes Analysis
========

Model:
Time ~=    33.62
    + z    0.001
              µs

Min Squares Analysis
========

Data points distribution:
    z   mean µs  sigma µs       %
    0     32.86     0.123    0.3%
  200     33.47      0.14    0.4%
  400     33.92     0.098    0.2%
  600     34.41     0.164    0.4%
  800     35.05     0.073    0.2%
 1000     35.59     0.087    0.2%
 1200     36.01     0.197    0.5%
 1400     36.33     0.131    0.3%
 1600     36.43     0.074    0.2%
 1800     36.62     0.138    0.3%
 2000     36.13     1.085    3.0%
 2200     37.42     0.142    0.3%
 2400     37.44     0.824    2.2%
 2600      38.2     0.087    0.2%
 2800     38.43     0.076    0.1%
 3000     38.84      0.14    0.3%
 3200     39.24     0.088    0.2%
 3400     39.52     0.202    0.5%
 3600     39.93     0.122    0.3%
 3800     40.21     0.134    0.3%
 4000     40.68     0.146    0.3%
 4200     40.88     0.138    0.3%
 4400     41.49      0.11    0.2%
 4600     41.78     0.093    0.2%
 4800     42.19     0.086    0.2%
 5000     42.42     0.129    0.3%
 5200     42.79     0.086    0.2%
 5400     43.25     0.097    0.2%
 5600     43.52      0.08    0.1%
 5800     43.87     0.137    0.3%
 6000     44.15     0.053    0.1%
 6200     44.46     0.072    0.1%
 6400     44.88     0.172    0.3%
 6600     45.11     0.158    0.3%
 6800     45.52      0.09    0.1%
 7000     45.79     0.154    0.3%
 7200     45.49     1.147    2.5%
 7400     46.63     0.172    0.3%
 7600     46.94     0.211    0.4%
 7800     47.35      0.09    0.1%
 8000     47.14     1.021    2.1%
 8200     48.09     0.188    0.3%
 8400     47.46     1.175    2.4%
 8600     47.93     1.257    2.6%
 8800     46.25     0.144    0.3%
 9000     47.36     1.048    2.2%
 9200     46.91     0.126    0.2%
 9400      49.8      0.83    1.6%
 9600     50.58     0.173    0.3%
 9800     50.98     0.208    0.4%
10000     50.26     1.261    2.5%

Quality and confidence:
param     error
z             0

Model:
Time ~=    33.72
    + z    0.002
              µs

