Pallet: "staking", Extrinsic: "payout_all", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
v,n,extrinsic_time,storage_root_time
10,19,7655803,365811
10,19,7635077,363581
10,19,7631414,365587
10,19,7664227,364004
10,19,7633846,365533
10,19,7669921,366494
10,19,7639371,363451
10,19,7632636,364518
10,19,7674532,367678
10,20,8015107,377657
10,20,7983512,377968
10,20,7975045,380448
10,20,8011244,376972
10,20,7969626,378987
10,20,7989167,377283
10,20,7995774,376898
10,20,8081475,378884
10,20,7978729,376080
10,20,8040783,379237
10,20,8004636,377906
10,20,7995795,377558
10,20,7989380,378514
10,20,7990238,377236
10,20,8003060,378811
10,20,8030194,381891
10,20,7998483,377944
10,20,8048908,378212
10,20,7987321,376077
10,20,8047185,376099
10,21,8327979,387711
10,21,8332087,386229
10,21,8324169,385162
10,21,8325728,388619
10,21,8337764,385494
10,21,8359722,387293
10,21,8353683,384668
10,21,8370518,386615
10,21,8345815,385637
10,21,8319177,388995
10,21,8316764,387341
10,21,8317137,386246
10,21,8361507,386108
10,21,8338908,385567
10,21,8330721,387064
10,21,8327693,384858
10,21,8405838,388381
10,21,8327817,388678
10,21,8340069,387055
10,21,8351445,388359
10,22,8664058,395354
10,22,8716916,394593
10,22,8724292,393612
10,22,8689902,393332
10,22,8717957,393781
10,22,8695879,395081
10,22,8760359,395708
10,22,8712120,394103
10,22,8715005,397490
10,22,8689545,395736
10,22,8744081,424810
10,22,8699238,397010
10,22,8697809,392644
10,22,8715563,393533
10,22,8712495,394290
10,22,8695897,397272
10,22,8687041,395075
10,22,8751479,394947
10,22,8830397,394357
10,22,8728004,393506
10,23,9070050,403680
10,23,9051041,402451
10,23,9050044,402365
10,23,9078895,402881
10,23,9058383,403490
10,23,9122406,402866
10,23,9047365,402317
10,23,9070449,401957
10,23,9045490,402094
10,23,9060277,406303
10,23,9037694,401340
10,23,9064945,401524
10,23,9039894,402773
10,23,9034565,402051
10,23,9033176,402643
10,23,9037740,401421
10,23,9051000,401588
10,23,9104725,432181
10,23,9045405,403837
10,23,9063873,403094
10,24,9522996,415303
10,24,9390107,416208
10,24,9430955,415812
10,24,9460439,416953
10,24,9403985,415201
10,24,9395953,415684
10,24,9404837,416416
10,24,9439166,417564
10,24,9436150,415668
10,24,9503502,416889
10,24,9408529,416276
10,24,9417735,415620
10,24,9401195,416692
10,24,9424787,416141
10,24,9395254,418288
10,24,9400606,413835
10,24,9393263,423075
10,24,9411238,415151
10,24,9408368,416572
10,24,9394127,416403
10,25,9797456,426347
10,25,9823474,426774
10,25,9782473,425074
10,25,9805582,425762
10,25,9762004,428352
10,25,9802580,426059
10,25,9776263,425266
10,25,9820431,425144
10,25,9789993,425529
10,25,9837870,426034
10,25,9789754,427442
10,25,9827809,427064
10,25,9762214,426208
10,25,9878453,429842
10,25,9763362,426271
10,25,9822342,425606
10,25,9803012,427231
10,25,9783182,427214
10,25,9787545,427159
10,25,9818074,427318
10,26,10146203,438119
10,26,10144410,439037
10,26,10171181,436884
10,26,10150828,438286
10,26,10174568,438316
10,26,10138324,441371
10,26,10159947,439736
10,26,10113215,437893
10,26,10153626,492356
10,26,10147239,438598
10,26,10154215,469806
10,26,10142789,439119
10,26,10132828,437598
10,26,10159807,438434
10,26,10152903,436890
10,26,10163721,437140
10,26,10128169,437085
10,26,10185084,438040
10,26,10154293,439310
10,26,10142093,438637
10,27,10502833,448249
10,27,10520496,446143
10,27,10500371,446933
10,27,10492896,445736
10,27,10518566,445838
10,27,10538469,446471
10,27,10571379,446596
10,27,10491126,447093
10,27,10501864,446934
10,27,10524485,447068
10,27,10494765,446744
10,27,10497467,450022
10,27,10556412,448512
10,27,10520567,446679
10,27,10571432,447824
10,27,10490816,448650
10,27,10536058,444406
10,27,10776443,456918
10,27,10551029,446358
10,27,10532008,477935
10,28,10894651,455335
10,28,10846251,456432
10,28,10833658,458481
10,28,10860977,457575
