Pallet: "elections", Extrinsic: "phragmen", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,e,extrinsic_time,storage_root_time
28,500,16,84592320,119635
28,500,16,84723519,119453
28,500,16,84582579,120199
28,500,16,84510830,117295
29,500,16,85711960,125111
29,500,16,85669217,123615
29,500,16,85694397,126801
29,500,16,85718897,124607
29,500,16,85614019,122905
29,500,16,85698611,124376
29,500,16,85640576,124779
29,500,16,85750532,124635
29,500,16,85662554,124135
29,500,16,85700832,122773
29,500,16,85781754,126045
29,500,16,85682095,127776
29,500,16,85684258,123699
29,500,16,85761152,125855
29,500,16,85874101,125533
29,500,16,85673755,125351
29,500,16,85674550,124837
29,500,16,85809331,124355
29,500,16,85591872,124358
29,500,16,85722475,125701
30,500,16,86631756,130610
30,500,16,86698892,129560
30,500,16,86817097,129938
30,500,16,86843188,130043
30,500,16,86741881,130095
30,500,16,86786504,129711
30,500,16,86687354,130300
30,500,16,86850249,128429
30,500,16,86860974,130375
30,500,16,86851069,130385
30,500,16,86795000,129583
30,500,16,86936684,131287
30,500,16,86719051,128155
30,500,16,86808092,130428
30,500,16,86802430,129914
30,500,16,86813550,131262
30,500,16,86621870,129373
30,500,16,86908350,131520
30,500,16,86842788,130100
30,500,16,86811951,128667
31,500,16,87548428,127245
31,500,16,87744002,126987
31,500,16,87833234,129282
31,500,16,87696179,126926
31,500,16,87714940,128501
31,500,16,87794326,128468
31,500,16,87754114,128515
31,500,16,88111555,130240
31,500,16,87647365,130539
31,500,16,87874330,128924
31,500,16,87603809,127055
31,500,16,87778797,128300
31,500,16,87732067,127650
31,500,16,87790141,128178
31,500,16,87662072,128494
31,500,16,87693545,127957
31,500,16,87688985,128118
31,500,16,87773238,131315
31,500,16,87691763,128014
31,500,16,87968272,126714
32,500,16,88413626,141490
32,500,16,88595004,141514
32,500,16,88582868,142597
32,500,16,88577616,147543
32,500,16,88427959,140707
32,500,16,88567733,143401
32,500,16,88722292,145730
32,500,16,88654779,142245
32,500,16,88409679,141174
32,500,16,88552605,142157
32,500,16,88399382,142249
32,500,16,88516758,143302
32,500,16,88458582,142042
32,500,16,88531276,141530
32,500,16,88495700,141745
32,500,16,88532261,141434
32,500,16,88255335,140987
32,500,16,88433649,141688
32,500,16,88425305,142105
32,500,16,88506711,140726
33,500,16,89251320,150925
33,500,16,89105538,151605
33,500,16,89070017,152472
33,500,16,89236824,152341
33,500,16,89103619,152646
33,500,16,89160009,151525
33,500,16,88981716,150974
33,500,16,89190787,152105
33,500,16,89137416,151942
33,500,16,89157513,154361
33,500,16,89145448,151402
33,500,16,89016336,151093
33,500,16,89224889,152207
33,500,16,89158970,151731
33,500,16,89088743,151928
33,500,16,89178514,151104
33,500,16,89181757,152810
33,500,16,89208999,151521
33,500,16,89093531,149729
33,500,16,89146721,149632
34,500,16,90457669,146209
34,500,16,90552426,147591
34,500,16,90428962,145709
34,500,16,90533287,146050
34,500,16,90536826,146455
34,500,16,90664638,146053
34,500,16,90576743,147145
34,500,16,90479601,146713
34,500,16,90457521,146902
34,500,16,90467472,146126
34,500,16,90685357,147087
34,500,16,90768837,146214
34,500,16,90442607,147253
34,500,16,90534987,145599
34,500,16,90637564,147457
34,500,16,90602570,145009
34,500,16,90586938,147057
34,500,16,90644521,146383
34,500,16,90460461,147309
34,500,16,90589037,145642
35,500,16,91764646,172309
35,500,16,91683517,171771
35,500,16,91573906,172210
35,500,16,91707917,174089
35,500,16,91586047,169886
35,500,16,91594948,172493
35,500,16,91530479,169997
35,500,16,91630714,172861
35,500,16,91593774,171044
35,500,16,91767529,171750
35,500,16,91630727,172066
35,500,16,91630801,171695
35,500,16,91521624,171131
35,500,16,91690771,172203
35,500,16,91628688,171583
35,500,16,91549740,169994
35,500,16,91484691,170339
35,500,16,91730699,171459
35,500,16,91487166,172738
35,500,16,91665384,170577
36,500,16,91891339,172646
36,500,16,92077531,174913
36,500,16,92052256,175929
36,500,16,92086772,173165
36,500,16,91987192,173251
36,500,16,92076250,173906
36,500,16,91942524,174156
36,500,16,92244723,175005
36,500,16,92067373,172744
36,500,16,91995229,173347
36,500,16,92030677,177076
36,500,16,92094972,172147
36,500,16,91909873,172656
36,500,16,92083201,173822
36,500,16,91895016,171831
36,500,16,92131562,171758
36,500,16,92087416,175161
36,500,16,92050911,173053
36,500,16,92016965,176404
36,500,16,92098090,173738
37,500,16,92329758,184435
37,500,16,92616150,186039
37,500,16,92497338,185661
37,500,16,92480275,183786
37,500,16,93134107,205827
37,500,16,92645676,186007
37,500,16,93057393,186872
37,500,16,92613973,183689
37,500,16,92601630,184365
37,500,16,92531570,183804
37,500,16,92316060,184493
37,500,16,92587486,185376
37,500,16,92354792,183703
37,500,16,92437262,184671
37,500,16,92577965,192089
37,500,16,92505115,183378
37,500,16,92584602,185534
37,500,16,92542896,183803
37,500,16,92359308,181862
37,500,16,92461377,183180
38,500,16,92682068,188687
38,500,16,92706391,188340
38,500,16,92753652,187543
38,500,16,92653128,187982
38,500,16,92556260,188194
38,500,16,92602348,187086
38,500,16,92591758,186578
38,500,16,92680096,187777
38,500,16,92628975,186713
38,500,16,92611449,186975
38,500,16,92803405,190367
38,500,16,92667470,187829
38,500,16,92621723,188583
38,500,16,92641816,189769
38,500,16,92569098,186322
38,500,16,92589205,188492
38,500,16,92635343,187046
38,500,16,92636328,188245
38,500,16,92587298,186187
38,500,16,92737105,187975
39,500,16,93305637,190611
39,500,16,93185042,189668
39,500,16,93084107,190558
39,500,16,93208118,190182
39,500,16,93347390,192576
39,500,16,93374997,191421
39,500,16,93480706,192387
39,500,16,93309603,190234
39,500,16,93151498,191168
39,500,16,93276773,190287
39,500,16,93205236,191510
39,500,16,93191171,189536
39,500,16,93141677,189680
39,500,16,93244578,191037
39,500,16,93136426,190070
39,500,16,93266590,190216
39,500,16,93270893,191382
39,500,16,93302585,189219
39,500,16,93317232,192078
39,500,16,93315163,190455
40,500,16,93691060,198283
40,500,16,93850346,199229
40,500,16,93604474,201820
40,500,16,93859091,198980
40,500,16,93554165,198511
40,500,16,93532214,197258
40,500,16,93581284,197515
40,500,16,93623326,198007
40,500,16,93655608,199229
40,500,16,93767343,197820
40,500,16,93498212,196289
40,500,16,93681054,198902
40,500,16,93558194,197560
40,500,16,93582743,197216
40,500,16,93597016,198185
40,500,16,93737168,197551
40,500,16,93637405,199016
40,500,16,93608897,197887
40,500,16,93553255,199963
40,500,16,93664967,196918
41,500,16,94020891,204965
41,500,16,94066323,203967
41,500,16,94049236,204684
41,500,16,94053835,204922
41,500,16,93952343,204177
41,500,16,94148117,204910
41,500,16,93947382,203922
41,500,16,94017900,203912
41,500,16,94067905,204104
41,500,16,94056888,203791
41,500,16,94037782,204024
41,500,16,94081078,206242
41,500,16,94216918,207129
41,500,16,94230480,205563
41,500,16,93951542,240556
41,500,16,94032905,205905
41,500,16,94089012,205134
41,500,16,93973119,203259
41,500,16,94096675,206329
41,500,16,94152890,205599
42,500,16,94522543,203326
42,500,16,94679581,206736
42,500,16,94607512,205430
42,500,16,94490539,206139
42,500,16,94487773,204708
42,500,16,94477099,204703
42,500,16,94537782,205281
42,500,16,94788844,206318
42,500,16,94382582,204423
42,500,16,94583037,204580
42,500,16,94607061,205583
42,500,16,94539123,204612
42,500,16,94445393,205808
42,500,16,94681507,205860
42,500,16,94490617,205531
42,500,16,94703818,205055
42,500,16,94541961,205716
42,500,16,94473494,204517
42,500,16,94598391,205424
42,500,16,94581755,205594
43,500,16,95027595,214202
43,500,16,95008783,212532
43,500,16,94928533,213740
43,500,16,95172780,215182
43,500,16,94983614,213729
43,500,16,95038953,214236
43,500,16,94972271,211402
43,500,16,94939679,212796
43,500,16,94853227,213033
43,500,16,94968118,213447
43,500,16,94916374,214057
43,500,16,94909864,212858
43,500,16,94913083,214062
43,500,16,94935639,211725
43,500,16,95036931,212821
43,500,16,94994850,214899
43,500,16,94920918,212921
43,500,16,94998903,212366
43,500,16,95075752,213592
43,500,16,94881099,212556
44,500,16,94843464,211800
44,500,16,94904767,211305
44,500,16,94710433,211265
44,500,16,94904280,211766
44,500,16,94773864,211765
44,500,16,94861459,212939
44,500,16,94935067,212997
44,500,16,94848780,212104
44,500,16,94786221,210955
44,500,16,94992313,211997
44,500,16,94650951,210883
44,500,16,94925025,211523
44,500,16,94778796,213218
44,500,16,95040067,212978
44,500,16,94915289,211182
44,500,16,94951442,213597
44,500,16,94749894,210657
44,500,16,94937462,212502
44,500,16,94843271,210337
44,500,16,94807281,212267
45,500,16,95125894,222784
45,500,16,95151937,223098
45,500,16,95441978,223354
45,500,16,95318200,222328
45,500,16,95041371,220992
45,500,16,95271897,222075
45,500,16,95213877,223381
45,500,16,95139466,222300
45,500,16,95143913,226734
45,500,16,95236394,222242
45,500,16,95213499,221139
45,500,16,95354192,222851
45,500,16,95307198,221245
45,500,16,95321790,223007
45,500,16,95346598,222796
45,500,16,95221942,220568
45,500,16,95185512,222568
45,500,16,95320929,222214
45,500,16,95311257,222298
45,500,16,95181821,224498
46,500,16,96162728,223617
46,500,16,96008521,223606
46,500,16,96026857,223895
46,500,16,96249315,223815
46,500,16,96078127,224949
46,500,16,96258971,225295
46,500,16,96162641,226698
46,500,16,96150388,223981
46,500,16,96101111,224767
46,500,16,96139061,224206
46,500,16,96046934,224237
46,500,16,96232241,224426
46,500,16,96103743,224125
46,500,16,96106116,224178
46,500,16,96048962,226637
46,500,16,96104114,222886
46,500,16,96076171,224024
46,500,16,96112946,223672
46,500,16,96013487,223751
46,500,16,96267998,225871
47,500,16,96408443,239705
47,500,16,96415283,241027
47,500,16,96200174,238238
47,500,16,96376715,241595
47,500,16,96318986,240450
47,500,16,96379961,240066
47,500,16,96334613,240156
47,500,16,96320873,240886
47,500,16,96395694,239731
47,500,16,96352026,239006
47,500,16,96281831,239670
47,500,16,96459559,238498
47,500,16,96399101,241021
47,500,16,96388546,240359
47,500,16,96441653,243240
47,500,16,96329661,238837
47,500,16,96313493,240068
47,500,16,96469305,239115
47,500,16,96174022,239348
47,500,16,96513467,239770
48,500,16,96743721,226877
48,500,16,96820205,228077
48,500,16,96723145,227317
48,500,16,96846740,226272
48,500,16,96797453,229207
48,500,16,96719283,226530
48,500,16,96708786,228942
48,500,16,96848167,229951
48,500,16,96742209,227448
48,500,16,96998211,227902
48,500,16,96679757,227492
48,500,16,96763354,228284
48,500,16,96887297,227296
48,500,16,96917136,229107
48,500,16,96812884,226870
48,500,16,96755300,229028
