Pallet: "elections", Extrinsic: "report_defunct_voter_correct", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,extrinsic_time,storage_root_time
41,16,287399,62653
41,16,289532,62405
41,16,288502,62730
41,16,307829,62915
41,16,290210,62973
41,16,286318,62408
41,16,288930,62043
41,16,289251,63295
41,16,288816,63317
41,16,289459,63346
41,16,288286,62546
41,16,289989,62874
41,16,288545,62911
42,16,291901,62372
42,16,290735,63013
42,16,291539,62872
42,16,289302,62908
42,16,290637,62355
42,16,290172,63081
42,16,290684,63223
42,16,290439,62824
42,16,288301,62588
42,16,290167,63220
42,16,289454,62957
42,16,289446,63069
42,16,289759,63507
42,16,290511,62829
42,16,290923,63526
42,16,290156,62404
42,16,289315,63302
42,16,290063,62967
42,16,290166,62919
42,16,290225,62654
43,16,290942,63250
43,16,286357,63024
43,16,292258,62805
43,16,291402,66594
43,16,292750,63845
43,16,295071,62954
43,16,290757,62737
43,16,293135,63200
43,16,292605,63852
43,16,292243,63036
43,16,291741,62977
43,16,293683,62790
43,16,291916,63158
43,16,298405,65170
43,16,290964,63390
43,16,291559,63029
43,16,291472,63361
43,16,292199,63329
43,16,292121,62614
43,16,291647,62976
44,16,297912,63084
44,16,293417,63603
44,16,293905,62892
44,16,293432,63023
44,16,292439,62535
44,16,293223,63308
44,16,292229,62671
44,16,292441,62811
44,16,292697,62898
44,16,294163,62853
44,16,294190,62928
44,16,297546,62977
44,16,293270,63257
44,16,295291,62661
44,16,294475,63291
44,16,292673,62619
44,16,292342,62416
44,16,293684,62765
44,16,293303,63024
44,16,293374,62758
45,16,294718,62307
45,16,295164,62607
45,16,298091,63364
45,16,294561,63355
45,16,294897,62696
45,16,295044,63841
45,16,295147,62529
45,16,294128,63590
45,16,295323,63039
45,16,295470,63177
45,16,295991,63009
45,16,296620,63295
45,16,295952,62716
45,16,295463,62745
45,16,295065,62770
45,16,294685,62717
45,16,295280,62739
45,16,294398,62645
45,16,297691,63040
45,16,295928,63136
46,16,297918,62639
46,16,295584,63008
46,16,296532,63149
46,16,297615,62771
46,16,296843,63626
46,16,319602,63346
46,16,297834,62976
46,16,297942,62763
46,16,296316,62846
46,16,297063,62947
46,16,296206,62679
46,16,296762,62717
46,16,300759,63436
46,16,297188,63094
46,16,297307,62747
46,16,296750,63364
46,16,296508,62456
46,16,297798,62697
46,16,296444,63228
46,16,297259,62871
47,16,298633,62832
47,16,297870,63040
47,16,298623,63005
47,16,298668,62849
47,16,329162,63303
47,16,299511,62480
47,16,299377,63353
47,16,298116,62356
47,16,298733,62632
47,16,298723,65793
47,16,298580,63139
47,16,299501,63034
47,16,296731,63221
47,16,298465,63143
47,16,298041,63088
