Pallet: "offences", Extrinsic: "report_offence_grandpa", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,n,extrinsic_time,storage_root_time
46,16,597900,161281
46,16,598181,162459
46,16,595542,161632
46,16,599814,162940
46,16,600278,160075
46,16,597319,161492
46,16,594357,162743
46,16,600504,161283
46,16,602481,161489
46,16,600604,161430
46,16,598350,161556
46,16,628432,162761
47,16,594149,160764
47,16,600714,161022
47,16,598905,161591
47,16,598089,160702
47,16,601846,161193
47,16,598349,161260
47,16,598374,162222
47,16,600647,160642
47,16,598662,161187
47,16,601523,161278
47,16,601057,161666
47,16,599248,161241
47,16,597377,160797
47,16,603107,161722
47,16,598291,161752
47,16,597179,165112
47,16,601648,161467
47,16,600636,161357
47,16,594683,165369
47,16,594115,161800
48,16,601457,161007
48,16,603722,162555
48,16,601743,160850
48,16,599849,160646
48,16,606456,163762
48,16,597978,161329
48,16,598664,160844
48,16,603546,162343
48,16,600947,161526
48,16,602378,160982
48,16,601229,161373
48,16,600312,161369
48,16,598659,161348
48,16,603914,161143
48,16,597547,160379
48,16,599905,162552
48,16,595319,160686
48,16,599472,160593
48,16,597356,161076
48,16,601064,161731
49,16,597843,161876
49,16,595267,161932
49,16,602058,162090
49,16,600706,161349
49,16,603269,162161
49,16,599671,162483
49,16,601626,161381
49,16,600897,161852
49,16,600911,160759
49,16,600166,164822
49,16,600759,161633
49,16,600261,161239
49,16,597154,164960
49,16,604069,160906
49,16,600934,162112
49,16,597942,162069
49,16,600755,161551
49,16,600164,161932
49,16,604595,160366
49,16,599154,161434
50,16,599984,161737
50,16,600856,161678
50,16,601851,160779
50,16,602505,160517
50,16,600402,160699
50,16,595061,161284
50,16,598519,161301
50,16,633038,160998
50,16,593051,160371
50,16,595556,162949
50,16,596936,162264
50,16,595312,162044
50,16,603557,162263
50,16,601187,162388
50,16,599788,161283
50,16,595500,161438
50,16,596218,162071
50,16,603035,160882
50,16,601206,161745
50,16,599701,161979
51,16,597722,161930
51,16,600638,161277
51,16,598719,162228
51,16,596913,165735
51,16,598350,160797
51,16,596427,162833
51,16,598802,160907
51,16,596055,162081
51,16,598206,162028
51,16,598690,162814
51,16,599456,161529
51,16,601480,162523
51,16,597288,161498
51,16,597322,162873
51,16,600327,160860
51,16,605645,162613
51,16,600348,162151
51,16,592848,162689
51,16,598314,162729
51,16,599006,163000
52,16,597867,161507
52,16,602324,161532
52,16,602497,163087
52,16,595039,161840
52,16,602526,161322
52,16,601307,160972
52,16,599602,161058
52,16,599534,161864
52,16,597170,162652
52,16,598442,161723
52,16,597500,161537
52,16,606214,164104
52,16,598270,161511
52,16,601683,161754
52,16,599995,165948
52,16,599054,161032
52,16,596142,162087
52,16,602876,161893
52,16,597882,161014
52,16,601514,160908
53,16,600139,160420
53,16,595016,162740
53,16,598115,161801
53,16,601980,163388
53,16,598963,161848
53,16,598760,161589
53,16,603219,161847
53,16,597244,161560
53,16,597971,161311
53,16,596652,162612
53,16,595870,161441
53,16,598753,162118
53,16,598577,161609
53,16,600718,161647
53,16,596001,162631
53,16,600784,161777
53,16,600421,163049
53,16,597676,162337
53,16,599496,160962
53,16,596231,161912
54,16,602531,162169
54,16,600855,161504
54,16,598511,191743
54,16,598913,162336
54,16,598094,162297
54,16,604766,162672
54,16,597452,162083
54,16,600703,160485
54,16,600998,162330
54,16,599915,161240
54,16,597787,162612
54,16,607076,162022
54,16,599507,161569
54,16,598562,160725
54,16,601951,160566
54,16,597708,162142
54,16,600171,161911
54,16,597124,161563
54,16,599869,161380
54,16,600619,161636
55,16,598293,163910
55,16,599333,162172
55,16,600930,162229
55,16,597608,162342
55,16,600094,161476
55,16,600002,161572
55,16,601242,161120
55,16,600106,161428
55,16,598933,161058
55,16,601512,161168
55,16,599849,162651
55,16,600339,161347
55,16,600488,162715
55,16,601084,165989
55,16,598805,162750
55,16,597134,160633
55,16,608613,163599
55,16,599473,161702
55,16,599198,162115
55,16,603709,161457
56,16,597577,163146
56,16,596449,162260
56,16,602273,162989
56,16,597580,162048
56,16,597587,160775
56,16,603890,162653
56,16,599133,161085
56,16,594942,161661
56,16,597928,162500
56,16,595804,162457
56,16,600864,162046
56,16,601081,160662
56,16,595427,162929
56,16,596657,163296
56,16,600414,162907
56,16,599404,161147
56,16,598979,162108
56,16,597860,162132
56,16,599489,161826
56,16,601027,162203
57,16,597875,162295
