Pallet: "staking", Extrinsic: "payout_all", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
v,n,extrinsic_time,storage_root_time
10,53,83577570,1994383
10,53,83860215,2109453
10,53,84159895,1926795
10,53,84743309,1975419
10,53,85242256,2045854
10,53,84013184,2028352
10,53,83340009,1929418
10,53,84691705,1981898
10,53,83362186,2012383
10,53,85863673,2262034
10,53,91141445,2127094
10,57,102286579,2296003
10,57,102096081,2036868
10,57,92489722,2034491
10,57,90924087,2190112
10,57,91978968,2055622
10,57,91602014,2122186
10,57,93352619,2183622
10,57,91730631,2235666
10,57,93497219,2101832
10,57,92545036,2054311
10,57,93920325,2080537
10,57,91875090,2065726
10,57,95369322,2035493
10,57,93777529,2172370
10,57,93145177,2065282
10,57,95272163,2487405
10,57,93504289,2154838
10,57,93595198,2333064
10,57,94643523,2246905
10,57,94234136,2134714
10,61,101922020,2104272
10,61,101777675,2252409
10,61,101631422,2279445
10,61,103176141,2329951
10,61,102941777,2132856
10,61,102641097,2215415
10,61,104594540,2163961
10,61,104101685,2257309
10,61,107815540,2268299
10,61,104095037,2167321
10,61,102807698,2183754
10,61,100563566,2331050
10,61,102223147,2218573
10,61,103093130,2340418
10,61,103277267,2379730
10,61,103750677,2347635
10,61,109298368,2235030
10,61,101592055,2269973
10,61,102287794,2212866
10,61,100328712,2158151
10,65,108675544,2618962
10,65,111719182,2225992
10,65,109678645,2187729
10,65,109504282,2263052
10,65,109646385,2273841
10,65,110600093,2244995
10,65,107114678,2279510
10,65,108716169,2313837
10,65,113427002,2347428
10,65,111599460,2281066
10,65,109379791,2397985
10,65,111997771,2562036
10,65,110741239,2252878
10,65,108464604,2542750
10,65,109579138,2255328
10,65,110428287,2222967
10,65,109518373,2346384
10,65,107988224,2284246
10,65,109605049,2205089
10,65,107869608,2319571
10,69,112866977,2404378
10,69,113392478,2447461
10,69,113365162,2615538
10,69,112525559,2391902
10,69,113949493,2430672
10,69,110165529,2422652
10,69,113170362,2353017
10,69,111331905,2524825
10,69,116557157,2385817
10,69,111852383,2446458
10,69,112030573,2418693
10,69,111815319,2448361
10,69,113705188,2336298
10,69,112542668,2394544
10,69,113443052,2459607
10,69,112220549,2412637
10,69,111855926,2419513
10,69,112004387,2564737
10,69,110755308,2431149
10,69,112029721,2455801
10,73,114809892,2822622
10,73,113337964,2511238
10,73,112769103,2481958
10,73,111885804,2636832
10,73,112280274,2548500
10,73,113576258,2565559
10,73,111605930,2483756
10,73,111707618,2557131
10,73,111984551,2747734
10,73,122094737,2499675
10,73,126775973,2534810
10,73,114898131,2624371
10,73,114189872,2581523
10,73,114893612,2509588
10,73,116927285,2613463
10,73,113284045,2514837
10,73,114080483,2608295
10,73,114020203,2558795
10,73,143512508,2548483
10,73,114569177,2653576
10,77,116231443,2728489
10,77,114893381,2834613
10,77,114507758,2630881
10,77,114562260,2707320
10,77,114708249,2750975
10,77,113569859,2644473
10,77,114255801,2848013
10,77,117291859,2939431
10,77,117733965,3427428
10,77,114046353,2642584
10,77,116440206,2568181
10,77,112814358,3088271
10,77,130571282,2601054
10,77,114019701,2795210
10,77,115002899,2776714
10,77,116359718,2651331
10,77,117475097,2639134
10,77,114414403,2624433
10,77,113187432,2626166
10,77,114417749,2744205
10,81,110442913,2790108
10,81,111167134,2778765
10,81,109531985,2731362
10,81,117795560,2744346
10,81,111940723,2604401
10,81,117696295,2803941
10,81,120821353,3274087
10,81,117046295,2823620
10,81,115205720,3087501
10,81,112125671,2714942
10,81,109740394,2753545
10,81,110394024,2658832
10,81,110154157,2667680
10,81,109067986,2703182
10,81,108273167,2772221
10,81,109488886,2706098
10,81,110856729,2608429
10,81,108685198,2591550
10,81,108803679,2692933
10,81,112957026,2732892
10,85,110258274,2759714
10,85,108844480,2901087
10,85,110319290,2936815
10,85,113078460,2829390
10,85,109653912,2840983
10,85,112697332,2783388
10,85,109484954,2904516
10,85,109441287,2772832
10,85,108270491,2874459
10,85,109178429,2691953
10,85,109909603,2873581
10,85,112705954,2849888
10,85,108816187,2724996
10,85,110513543,2858297
10,85,108804953,2821595
10,85,108858752,2763770
10,85,110057351,3063015
10,85,109413557,2924766
10,85,107948467,2681951
10,85,110531541,3023705
10,89,110124774,2836259
10,89,109136768,2812351
10,89,111959803,2827355
10,89,112973665,2926640
10,89,119319396,2820953
10,89,112822694,2858559
10,89,110985347,2963705
10,89,113337675,2867748
10,89,115181571,2955370
10,89,112497807,2900624
10,89,113720031,3230002
10,89,112770326,2987600
10,89,113214076,2905026
10,89,111997582,2913885
10,89,113183398,3039094
10,89,113832474,2910199
10,89,113771266,2979042
10,89,113242403,2836987
10,89,113693928,2975140
10,89,111797925,3087580
10,93,113435980,2921007
10,93,110736618,3159716
10,93,114904019,3122019
10,93,111154113,3018298
10,93,111685756,3076479
10,93,111058363,2926129
10,93,111075545,2933613
10,93,112181994,3024879
10,93,112148682,2953812
10,93,113348048,3311955
10,93,112344502,3014604
10,93,113715971,3302663
10,93,116023145,3176941
10,93,117749895,3102554
10,93,118974833,2925715
10,93,114004016,2965532
10,93,114441346,3190714
10,93,111799495,2947520
10,93,112649268,3335443
10,93,114156327,3201716
10,97,126660569,3176264
10,97,127325929,3246026
10,97,128801472,3357417
10,97,131982655,3488838
10,97,146482324,3403330
10,97,137311899,3216598
10,97,130528843,3318633
10,97,143287896,3765232
10,97,137678002,3273842
10,97,128547816,3405427
10,97,127612747,3208101
10,97,128625802,3157270
10,97,127393253,3293145
10,97,128487377,3428071
10,97,127954421,3223267
10,97,129466090,3255836
10,97,126852225,3542519
10,97,128675190,3344147
10,97,128861643,3709649
10,97,130591671,3335875

Median Slopes Analysis
========

Model:
Time ~=        0
    + v    12750
    + n     1381
              µs

Min Squares Analysis
========

Data points distribution:
    v     n   mean µs  sigma µs       %
    1   100     14160     172.4    1.2%
    2   100     26000     297.8    1.1%
    3   100     34570     237.1    0.6%
    4   100     44440     193.1    0.4%
