Pallet: "democracy", Extrinsic: "on_initialize_public", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time_ns,storage_root_time_ns
53,1716388,193089
53,1713250,193355
54,1744967,194612
54,1738681,193819
54,1739762,194075
54,1739001,194830
54,1743392,194332
54,1741057,195027
54,1745102,195449
54,1746683,195633
54,1744778,194870
54,1735331,195473
54,1741561,197571
54,1746613,195063
54,1739901,195232
54,1763478,195526
54,1737869,195415
54,1745617,194534
54,1745679,194502
54,1748179,195556
54,1736059,194917
54,1768561,193520
55,1773276,197581
55,1774451,199577
55,1772432,199367
55,1768016,199543
55,1767080,198388
55,1771649,199120
55,1771487,198340
55,1779126,198399
55,1771040,198564
55,1771222,198907
55,1762515,198428
55,1764118,199051
55,1776489,199716
55,1777890,199408
55,1763361,198110
55,1766419,198133
55,1772306,198276
55,1773479,199645
55,1773909,202340
55,1765493,199460
56,1804000,203489
56,1804820,203054
56,1808728,202574
56,1795745,202278
56,1805022,202720
56,1809577,204188
56,1801395,202718
56,1801083,203582
56,1801766,202807
56,1809265,203972
56,1807613,202176
56,1831611,203130
56,1803714,203058
56,1805658,204308
56,1799962,204015
56,1827681,203071
56,1803526,203881
56,1799161,202399
56,1797585,203528
56,1805700,203309
57,1837673,202621
57,1843014,203055
57,1840376,203220
57,1847882,202294
57,1848974,202840
57,1842645,202802
57,1844879,201956
57,1837271,202858
57,1840133,202379
57,1841899,203159
57,1831133,203039
57,1827778,234006
57,1842131,201059
57,1840512,202646
57,1844470,202615
57,1834713,202877
57,1834190,201628
57,1865863,202466
57,1835313,201743
57,1840488,202774
58,1861929,204644
58,1854169,204677
58,1864261,204287
58,1860792,205795
58,1871228,204359
58,1868923,204368
58,1872881,204673
58,1870810,204718
58,1861221,205641
58,1867898,204235
58,1847116,207693
58,1865827,204226
58,1870100,205084
58,1848277,203277
58,1862376,203785
58,1853050,204171
58,1863914,204631
58,1871447,204713
58,1860713,202832
58,1864961,204094
59,1902997,207332
59,1892776,207029
59,1905653,207548
59,1891408,206595
59,1905603,207069
59,1893810,209397
59,1893733,207217
59,1883320,206781
59,1888942,205809
59,1886729,207011
59,1886709,207090
59,1880666,206160
59,1900006,207143
59,1899647,206825
59,1892341,207136
59,1895033,207672
59,1891557,207522
59,1896536,207966
59,1886535,206321
59,1884785,205773
60,1930438,213362
60,1916926,212303
60,1917247,212133
60,1936166,212191
60,1916014,211362
60,1928239,211397
60,1930380,212835
60,1919032,211947
60,1930426,212267
60,1920989,214777
60,1919631,213433
60,1924083,211593
60,1922393,210812
60,1927587,212325
60,1932047,213131
60,1924790,211640
60,1931625,212836
60,1923611,211539
60,1922560,212456
60,1959793,212693
61,1961313,211031
61,1973253,210277
61,1958366,210472
61,1953938,210811
61,1960035,209331
61,1950388,209989
61,1953467,209703
61,1957447,209713
61,1940506,209487
61,1961690,209361
61,1960406,209899
61,1971697,210691
61,1964069,210044
61,1959475,209024
61,1965831,210370
61,1964325,210640
61,1952507,208477
61,1964359,210569
61,1951529,209649
61,1951986,209495
62,1980653,210707
62,1986323,210962
62,1983903,213458
62,1985385,211657
62,1985678,212787
62,1988864,210962
62,1995825,211523
62,1982740,210575
62,1989726,215619
62,1993078,210908
62,2017525,211960
62,1983229,212837
62,1989472,210340
62,1991774,211781
62,1991761,213704
62,1994140,211244
62,1987280,212838
62,1981514,211615
62,1982487,211590
62,1991969,212138
63,2032897,218131
63,2028551,216218
63,2033103,217906
63,2033015,216895
63,2022543,216828
63,2020129,219692
63,2028627,216707
63,2036523,217565
63,2024225,216086
63,2021003,217739
63,2024048,217880
63,2025815,216849
63,2028027,216799
63,2027361,216809
63,2026257,216457
63,2025224,217180
63,2024698,216769
63,2026279,217434
63,2033200,217482
63,2058124,216926
64,2045810,220432
64,2059511,219582
64,2059275,219654
64,2056912,218746
64,2049194,218955
64,2050322,220766
64,2056748,217802
64,2057688,219466
64,2048522,219198
64,2042584,219569
64,2053861,220596
64,2083441,220242
64,2044414,219329
64,2053383,218561
64,2052385,219919
64,2045592,218961
64,2043060,219665
64,2045938,220355
64,2044062,218652
64,2052638,220675
65,2094509,219112
65,2097822,219230
65,2106622,219525
65,2096510,218688
65,2097598,221260
65,2096728,219046
65,2098041,218201
65,2102776,219142
65,2124671,218029
65,2089782,219118
65,2090409,219340
65,2093326,219515
65,2098536,218579
65,2101994,218441
65,2097050,219225
65,2099570,219640
65,2088832,218073
65,2090515,220126
65,2094809,219965
65,2094195,218931
66,2118472,223069
66,2120244,223051
66,2143245,222803
66,2109206,222425
66,2115360,223848
66,2124958,222858
66,2122308,223485
66,2120280,222564
66,2111643,223002
66,2106436,223130
66,2124586,224064
66,2126683,223652
66,2124664,223314
66,2106236,223165
66,2107337,222272
66,2118641,223437
66,2123330,223893
66,2125710,223592
66,2119128,225061
66,2119945,223403
67,2143807,226555
67,2135731,226516
67,2152375,226521
67,2141468,225127
67,2151798,227702
67,2142894,226716
67,2142177,226429
67,2137685,225582
67,2141298,225629
67,2179025,226553
67,2150207,227257
67,2141621,226347
67,2152262,227002
67,2179949,225553
67,2173033,226247
67,2135204,225846
67,2146435,226572
67,2161141,227181
67,2150828,225616
67,2183177,226682
68,2188569,225437
68,2183083,227007
68,2174842,228166
68,2188561,225953
68,2185302,224851
68,2173347,225319
68,2191806,225623
68,2189676,226868
68,2179466,225784
68,2180011,228481
68,2170189,225098
68,2178807,225707
68,2183567,224576
68,2177150,224267
68,2183712,225446
68,2179388,226555
68,2173712,224336
68,2187603,226015
68,2183410,225368
68,2179730,225630
69,2201995,229173
69,2220268,230656
69,2214501,229840
69,2218881,229412
69,2243189,228739
69,2215576,230295
69,2217145,229706
69,2207250,228772
69,2228141,229460
69,2237521,230249
69,2224346,229777
69,2215820,230033
69,2219329,229762
69,2214745,231659
69,2209927,229278
69,2210704,228590
69,2212472,229338
69,2212174,228764
69,2217708,229637
69,2220024,230271
70,2250853,232114
70,2247013,232317
70,2260021,231634
70,2241762,233931
70,2248818,231562
70,2238200,231341
70,2247188,232522
70,2245991,232604
70,2255616,231876
70,2251635,232254
70,2241680,232250
70,2243458,232063
70,2250791,231489
70,2244368,232122
70,2245710,232755
70,2249979,234291
70,2244561,230450
70,2243469,231499
70,2238271,231604
70,2240085,231178
71,2270270,232127
71,2280819,233063
71,2290886,233437
71,2273349,232936
71,2264719,232397
71,2298165,233150
71,2320837,233052
71,2296451,233977
71,2262276,232070
71,2290001,232626
71,2279921,232991
71,2267142,234398
71,2272958,232475
71,2272787,232944
71,2265117,233032
71,2266692,232495
71,2272788,231915
71,2261246,232719
71,2271593,231939
71,2273432,233003
72,2297157,239169
72,2307162,239242
72,2304862,238762
72,2292441,238893
72,2310033,239714
72,2337048,238527
72,2298896,240559
72,2301878,238625
72,2296844,239728
72,2295668,239668
72,2301523,238822
72,2290674,239536
72,2327894,239156
72,2296667,241617
72,2303904,242294
72,2296612,238823
72,2302955,239304
72,2292985,238631
72,2304630,239651
72,2293172,237927
73,2331663,245597
73,2323435,247064
73,2321570,243981
73,2340741,244944
73,2319399,245076
73,2333507,245302
73,2328522,245316
73,2330251,245426
73,2326240,243627
73,2327105,244994
73,2317982,245337
73,2335653,245602
73,2338212,246031
73,2337403,245317
73,2337069,245299
73,2323434,246094
73,2322194,244426
73,2330870,245725
73,2334508,245973
73,2326847,245100
74,2361682,241406
74,2359010,241850
74,2364086,239266
74,2365951,241253
74,2366504,240882
74,2370973,242066
74,2373578,240692
74,2358039,241291
74,2355853,241109
74,2358284,240766
74,2349899,240523
74,2369116,241260
74,2362004,242427
74,2358351,243001
74,2371819,243643
74,2380946,241900
74,2400395,241973
74,2351722,241964
74,2378076,241580
74,2387601,241497
75,2387281,249825
75,2404783,249145
75,2390886,249021
75,2409517,249338
75,2390930,248687
75,2396624,249913
75,2402902,248296
75,2412400,248536
75,2408616,249013
75,2398267,248476
75,2402557,247981
75,2392902,248552
75,2405158,248989
75,2389647,248375
75,2393050,249666
75,2400377,247937
75,2402188,248003
75,2405831,285610
75,2405836,246905
75,2399607,247625
76,2428119,247044
76,2431703,248010
76,2464122,248872
76,2423356,247240
76,2425143,247933
76,2422384,248375
76,2421696,246925
76,2419421,247552
76,2419287,248596
76,2426963,248653
76,2422868,246601
76,2419147,250771
76,2421845,247470
76,2431593,247228
76,2427710,246389
76,2493307,247397
76,2436619,247023
76,2428357,248538
76,2416414,247796
76,2431543,248368
77,2453255,249749
77,2456550,249964
77,2461640,248334
77,2460098,252769
77,2491063,248970
77,2507465,250321
77,2472550,250171
77,2454162,248625
77,2462335,250250
77,2458817,248467
77,2467454,249698
77,2461901,248382
77,2456284,249418
77,2461183,250803
77,2471568,249058
77,2471225,248137
77,2491484,250504
77,2468535,248683
77,2474207,248978
77,2457027,249283
78,2481583,252389
78,2493996,252153
78,2502584,253904
78,2489848,252875
78,2493213,253018
78,2485016,252788
78,2484094,252001
78,2493607,250838
78,2489416,252843
78,2498488,252195
78,2481796,252818
78,2496799,250675
78,2471365,251418
78,2486197,251136
78,2495536,252976
78,2502245,252058
78,2493529,252504
78,2497536,255571
78,2522566,253324
78,2491812,251653
79,2521220,257874
79,2519407,257389
79,2514666,258569
79,2522075,257969
79,2522982,257294
79,2519708,256772
79,2527219,257941
79,2515448,257613
