Pallet: "elections", Extrinsic: "renounce_candidacy_member_runner_up", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,m,extrinsic_time,storage_root_time
58,20,46050,53287
58,20,47234,52339
58,20,47099,52315
58,20,45846,53155
58,20,46268,53231
58,20,46706,52407
58,20,46104,53001
58,20,46289,53586
58,20,46735,52456
58,20,46758,52103
58,20,46759,52524
58,20,45956,52808
58,20,46826,52533
58,20,46581,52060
58,20,46318,52295
58,20,46324,52807
58,20,45800,53308
58,20,46083,52987
59,20,45832,53049
59,20,46371,53320
59,20,45935,53679
59,20,45784,52676
59,20,46559,52561
59,20,46796,52471
59,20,46661,52364
59,20,46845,52603
59,20,46161,52918
59,20,47278,52856
59,20,47238,52318
59,20,46606,52414
59,20,46754,51962
59,20,46009,53576
59,20,46635,52125
59,20,45881,53417
59,20,45742,53399
59,20,45722,53415
59,20,46096,53310
59,20,46241,52196
60,20,46317,53071
60,20,46075,51854
60,20,46347,52835
60,20,46848,52270
60,20,46221,52123
60,20,47034,53053
60,20,46911,52297
60,20,46691,52040
60,20,46522,51805
60,20,46076,53805
60,20,45824,53622
60,20,45529,53202
60,20,46646,52945
60,20,47248,52142
60,20,46746,52318
60,20,46639,52193
60,20,48705,53395
60,20,45996,52681
60,20,46174,52052
60,20,46116,53323
61,20,46907,52467
61,20,45590,54104
61,20,46199,53009
61,20,47255,52511
61,20,45793,53712
61,20,46535,52921
61,20,46095,52989
61,20,46471,53607
61,20,45899,53151
61,20,46422,52444
61,20,45994,52928
61,20,46211,54363
61,20,45761,53273
61,20,47454,55878
61,20,45955,53735
61,20,46734,52776
61,20,46622,53294
61,20,46783,52323
61,20,47076,52520
61,20,45557,53285
62,20,45907,49166
62,20,45508,53552
62,20,45510,53597
62,20,45870,56477
62,20,45740,53844
62,20,45493,52699
62,20,45844,53254
62,20,45347,53035
62,20,45315,53063
62,20,45442,53608
62,20,45955,52984
62,20,46140,52188
62,20,45947,53627
62,20,46815,52527
62,20,45531,53261
62,20,45453,52879
62,20,46076,53856
62,20,45373,52706
62,20,45781,53257
62,20,46149,52151
63,20,46569,52749
63,20,46223,53266
63,20,46828,52549
63,20,45517,53298
63,20,45664,53666
63,20,46442,52611
63,20,46892,52299
63,20,45650,53299
63,20,47402,52612
63,20,47011,52968
63,20,46486,52466
63,20,46476,52184
63,20,46717,52079
63,20,46630,52763
63,20,46797,52340
63,20,45738,53059
63,20,45610,53021
63,20,46119,53586
63,20,46014,53257
63,20,45804,53266
64,20,46316,53450
64,20,46575,52640
64,20,45294,53172
64,20,45982,53437
64,20,46640,52736
64,20,46603,52826
64,20,45618,53487
64,20,46032,53563
64,20,46674,52142
64,20,45876,53174
64,20,45740,52965
64,20,45977,52746
64,20,46515,51964
64,20,45884,53552
64,20,46071,52690
64,20,46758,52683
64,20,45429,53390
64,20,45798,52857
64,20,45806,53298
64,20,45208,53209
65,20,46153,53688
65,20,46138,53121
65,20,46759,53867
65,20,46478,53532
65,20,46430,53469
65,20,46219,53306
65,20,45241,54087
65,20,49383,48381
65,20,46806,52344
65,20,46809,53663
65,20,46587,53555
65,20,48743,45905
65,20,47439,52633
65,20,46166,53645
65,20,46272,53366
65,20,46139,53784
65,20,49301,45735
65,20,46210,69336
65,20,47924,55355
65,20,47351,55016
66,20,46170,54779
66,20,47979,53066
66,20,46942,54278
66,20,47408,55127
66,20,47284,54752
66,20,45431,54007
66,20,45506,53286
66,20,45397,53323
66,20,45343,53423
66,20,45507,53370
66,20,45826,53687
66,20,49383,53788
66,20,45852,53278
66,20,45810,53515
66,20,46071,53394
66,20,45709,53413
66,20,45594,52997
66,20,46399,52656
66,20,45241,53477
66,20,45550,54072
67,20,45965,53631
67,20,46077,54001
67,20,46443,53442
67,20,46628,52321
67,20,46848,52935
67,20,45760,53714
67,20,46892,52490
67,20,45753,54190
67,20,46612,52542
67,20,46103,53298
67,20,46971,52229
67,20,45912,53661
67,20,46494,53011
67,20,46263,53604
67,20,46503,52340
67,20,48915,53895
67,20,49189,45531
67,20,46023,53277
67,20,45955,53593
67,20,49329,45595
68,20,46402,52868
68,20,45776,53358
68,20,46786,52737
68,20,47505,52756
68,20,47114,52568
68,20,46156,54166
68,20,46880,52692
68,20,46740,52780
68,20,46848,52733
68,20,46992,52472
68,20,46801,52496
68,20,46177,53559
68,20,49793,45911
68,20,46185,53819
68,20,45816,53849
68,20,46335,54201
68,20,46639,53577
68,20,46589,52781
68,20,50451,46120
68,20,46861,53079
69,20,46162,52322
69,20,45807,53892
69,20,48478,45675
69,20,45421,53759
69,20,46349,53812
69,20,45303,53542
69,20,46345,53032
