Pallet: "identity", Extrinsic: "kill_identity", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,s,x,extrinsic_time,storage_root_time
50,53,100,689568,407564
50,53,100,761355,414874
50,53,100,830604,464754
50,53,100,724001,464895
50,53,100,733745,462714
50,53,100,732981,457969
50,53,100,721908,400765
50,53,100,695204,463664
50,53,100,755034,381097
50,53,100,709689,439683
50,57,100,890665,436530
50,57,100,743746,433848
50,57,100,725645,453830
50,57,100,687330,443887
50,57,100,711443,440428
50,57,100,693058,418023
50,57,100,691478,425832
50,57,100,762093,473007
50,57,100,701325,430027
50,57,100,702321,426829
50,57,100,731637,432763
50,57,100,763535,426496
50,57,100,715599,464296
50,57,100,699902,421515
50,57,100,729573,427160
50,57,100,751286,430919
50,57,100,761712,452173
50,57,100,701898,439623
50,57,100,758369,435216
50,57,100,700660,422927
50,61,100,765480,477484
50,61,100,750729,453862
50,61,100,727757,444604
50,61,100,805880,459776
50,61,100,788788,442234
50,61,100,751350,450768
50,61,100,719100,437108
50,61,100,894244,456907
50,61,100,750420,454216
50,61,100,746274,455474
50,61,100,739720,463463
50,61,100,750045,479856
50,61,100,731054,435890
50,61,100,732582,462663
50,61,100,748050,461129
50,61,100,763845,442950
50,61,100,778312,561080
50,61,100,714401,464249
50,61,100,734817,448957
50,61,100,750021,450455
50,65,100,772361,484242
50,65,100,735043,470593
50,65,100,880088,551992
50,65,100,737940,470896
50,65,100,780016,476872
50,65,100,735240,492207
50,65,100,741053,482764
50,65,100,741445,488139
50,65,100,757342,474984
50,65,100,773768,490335
50,65,100,734296,484605
50,65,100,748182,471652
50,65,100,783634,507662
50,65,100,730658,472814
50,65,100,739767,523670
50,65,100,784868,472539
50,65,100,731669,483186
50,65,100,758916,580508
50,65,100,756389,539605
50,65,100,803760,576375
50,69,100,800838,508220
50,69,100,791460,531751
50,69,100,809360,495957
50,69,100,801926,531817
50,69,100,762373,502034
50,69,100,809370,526494
50,69,100,744889,485967
50,69,100,762438,498195
50,69,100,814572,511109
50,69,100,758253,536529
50,69,100,751516,530518
50,69,100,772516,536893
50,69,100,749381,506517
50,69,100,770756,502420
50,69,100,791188,566899
50,69,100,806102,488698
50,69,100,783110,589485
50,69,100,763767,516826
50,69,100,818567,507861
50,69,100,758477,509413
50,73,100,829708,682837
50,73,100,826443,573561
50,73,100,805349,601221
50,73,100,797308,526840
50,73,100,796212,532525
50,73,100,950027,562778
50,73,100,829362,554687
50,73,100,803122,559311
50,73,100,893026,559439
50,73,100,765802,508119
50,73,100,768568,599600
50,73,100,784355,570196
50,73,100,931203,593309
50,73,100,773606,590979
50,73,100,779467,557288
50,73,100,784983,538890
50,73,100,772253,528793
50,73,100,907021,583694
50,73,100,889373,526860
50,73,100,788435,563031
50,77,100,853005,665796
50,77,100,817148,615379
50,77,100,805669,545557
50,77,100,811093,567955
50,77,100,966928,548007
50,77,100,798453,568220
50,77,100,812782,744641
50,77,100,866054,559119
50,77,100,809182,549135
50,77,100,794480,581861
50,77,100,849705,563694
50,77,100,880782,536466
50,77,100,778927,659320
50,77,100,1006426,550854
50,77,100,884128,543664
50,77,100,874161,558565
50,77,100,928811,533062
50,77,100,892344,620721
50,77,100,794520,576375
50,77,100,841001,569875
50,81,100,818665,563536
50,81,100,893530,695034
50,81,100,816851,654548
50,81,100,846453,641825
50,81,100,816021,565350
50,81,100,875520,572623
50,81,100,879296,556758
50,81,100,892085,565762
50,81,100,878407,552291
50,81,100,821102,566649
50,81,100,816282,566297
50,81,100,863345,555479
50,81,100,802993,550703
50,81,100,836490,640655
50,81,100,902625,560512
50,81,100,819653,569668
50,81,100,821237,629173
50,81,100,879498,634366
50,81,100,964777,595626
50,81,100,944118,628398
50,85,100,923140,607245
50,85,100,880357,657193
50,85,100,876050,627321
50,85,100,871645,584008
50,85,100,897308,597036
50,85,100,841436,638747
50,85,100,848184,636182
50,85,100,910094,584669
50,85,100,866857,604285
50,85,100,956788,627393
50,85,100,883310,581085
50,85,100,886472,601359
50,85,100,896402,600737
50,85,100,828970,599762
50,85,100,936260,643679
50,85,100,836203,585429
50,85,100,863304,572927
50,85,100,839469,587317
50,85,100,955274,595327
50,85,100,942275,610757
50,89,100,884735,602626
50,89,100,847144,599572
50,89,100,848597,625539
50,89,100,828148,612932
50,89,100,881202,677353
50,89,100,913492,600592
50,89,100,865461,597158
50,89,100,928306,607208
50,89,100,873416,675987
50,89,100,861408,603754
50,89,100,922531,618077
50,89,100,879673,603807
50,89,100,953362,681581
50,89,100,893897,606491
50,89,100,860475,629970
50,89,100,859001,601458
50,89,100,948856,699596
50,89,100,967142,629980
50,89,100,987516,598207
50,89,100,972103,647472
50,93,100,911072,718510
50,93,100,880833,617306
50,93,100,1005279,621197
50,93,100,861746,672937
50,93,100,988109,634922
50,93,100,891295,639857
50,93,100,897746,607207
50,93,100,948573,637590
50,93,100,887752,646165
50,93,100,1504535,668317
50,93,100,903843,637725
50,93,100,920138,689410
50,93,100,898508,702540
50,93,100,893335,598968
50,93,100,969162,605922
50,93,100,882197,603149
50,93,100,897226,653288
50,93,100,916300,629378
50,93,100,899613,640857
50,93,100,889395,612102
50,97,100,1075446,638493
50,97,100,985289,688404
50,97,100,907991,623812
50,97,100,895405,669382
50,97,100,906023,660436
50,97,100,919056,645714
50,97,100,928164,639887
50,97,100,891150,631042
50,97,100,939256,668688
50,97,100,952165,700702
50,97,100,927451,632911
50,97,100,925192,642914
50,97,100,898620,663568
50,97,100,981530,679046
50,97,100,1006552,662805
50,97,100,918381,714857
50,97,100,911217,636133
50,97,100,948300,628823
50,97,100,910912,633703
50,97,100,937718,655720
50,100,1,738644,640873
50,100,1,741411,643334
50,100,1,746951,635843
50,100,1,749173,653594
50,100,1,816236,651037
50,100,1,735914,647830
50,100,1,806348,638940
50,100,1,743946,643863
50,100,1,771637,641965
50,100,1,786713,642388
50,100,1,748484,664639
50,100,1,723796,640535
50,100,1,741180,673262
50,100,1,731713,645954
50,100,1,783234,636437
50,100,1,745727,712840
50,100,1,733472,635897
50,100,1,756574,639347
50,100,1,746835,679322
50,100,1,789522,646122
50,100,5,766672,638641
50,100,5,755560,645690
