Pallet: "collective", Extrinsic: "propose_execute", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
m,b,extrinsic_time,storage_root_time
1000,7372,822332,42875
1000,7372,792466,42530
1000,7372,758019,41413
1000,7372,771721,42478
1000,7372,783996,55566
1000,7372,825058,42388
1000,7372,763389,40883
1000,7372,771547,42406
1000,7372,766930,42278
1000,7372,794888,42327
1000,7372,860374,44525
1000,7372,772435,42690
1000,7372,827888,42909
1000,7372,803377,42681
1000,7372,790661,41724
1000,7372,795178,43567
1000,7372,774723,57482
1000,7372,801780,42399
1000,7372,780747,43642
1000,7372,771404,42422
1000,8191,831384,42687
1000,8191,854725,41620
1000,8191,842899,42021
1000,8191,810965,44184
1000,8191,843869,41154
1000,8191,809445,43035
1000,8191,824927,45440
1000,8191,844463,43449
1000,8191,798669,42056
1000,8191,768349,42671
1000,8191,829704,43508
1000,8191,860530,40499
1000,8191,760251,41142
1000,8191,774580,41405
1000,8191,785517,42975
1000,8191,771237,41707
1000,8191,789687,43287
1000,8191,772338,42094
1000,8191,768946,42326
1000,8191,820565,41546
1000,9010,826278,42993
1000,9010,835571,43032
1000,9010,768000,40711
1000,9010,792138,42956
1000,9010,788317,46436
1000,9010,773546,42836
1000,9010,813173,43540
1000,9010,778824,44877
1000,9010,767900,42275
1000,9010,796332,44291
1000,9010,777208,44421
1000,9010,861334,44439
1000,9010,776522,43093
1000,9010,774359,41657
1000,9010,782616,43296
1000,9010,779569,53023
1000,9010,799906,43510
1000,9010,775211,41940
1000,9010,792905,44629
1000,9010,816626,46098
1000,9829,780513,43163
1000,9829,796429,42921
1000,9829,784780,42594
1000,9829,815373,60442
1000,9829,776884,43526
1000,9829,783416,44381
1000,9829,826390,43250
1000,9829,820393,42215
1000,9829,797293,42954
1000,9829,793340,43456
1000,9829,781926,43022
1000,9829,819313,43512
1000,9829,790930,41749
1000,9829,817740,42852
1000,9829,817739,42387
1000,9829,783043,42341
1000,9829,824405,44010
1000,9829,816447,44823
1000,9829,780277,43360
1000,9829,816900,42126
1000,10648,793486,42342
1000,10648,853923,44205
1000,10648,770801,56620
1000,10648,785704,43046
1000,10648,787904,42692
1000,10648,793756,44510
1000,10648,823385,44062
1000,10648,789711,43099
1000,10648,788706,42657
1000,10648,813688,43265
1000,10648,795338,44120
1000,10648,819538,44040
1000,10648,820565,42044
1000,10648,791238,44558
1000,10648,796359,43527
1000,10648,788726,42710
1000,10648,833133,44504
1000,10648,777504,40898
1000,10648,781373,43228
1000,10648,790956,43967
1000,11467,787390,43176
1000,11467,952647,65951
1000,11467,803844,49556
1000,11467,830833,45862
1000,11467,788272,43208
1000,11467,814719,43284
1000,11467,778518,42627
1000,11467,796368,46312
1000,11467,833500,48001
1000,11467,791747,43592
1000,11467,797788,43233
1000,11467,779829,42016
1000,11467,786376,41951
1000,11467,832424,44703
1000,11467,782203,41323
1000,11467,793175,44033
1000,11467,798246,43676
1000,11467,833120,45808
1000,11467,836263,48491
1000,11467,805437,44578
1000,12286,779510,41761
1000,12286,843513,49682
1000,12286,794455,44073
1000,12286,808074,44011
1000,12286,849284,43849
1000,12286,785536,42091
1000,12286,779248,43474
1000,12286,814971,45808
1000,12286,811637,46620
1000,12286,839878,45920
1000,12286,808169,44106
1000,12286,797733,44238
1000,12286,789578,45419
1000,12286,802080,50160
1000,12286,842567,46762
1000,12286,835461,49697
1000,12286,785215,42360
1000,12286,798362,42913
1000,12286,809470,42961
1000,12286,861120,49041
1000,13105,803532,42293
1000,13105,794313,42203
1000,13105,798887,43534
1000,13105,794119,42984
1000,13105,962458,47907
1000,13105,805921,41957
1000,13105,794012,42274
1000,13105,795286,43963
1000,13105,806613,43894
1000,13105,828386,48144
1000,13105,844164,44343
1000,13105,787442,41367
1000,13105,807698,43682
1000,13105,799251,43443
1000,13105,866167,50749
1000,13105,876225,57888
1000,13105,819110,46274
1000,13105,790258,43434
1000,13105,810282,42580
1000,13105,808838,44337
1000,13924,813218,42771
1000,13924,793235,41758
1000,13924,801615,43133
1000,13924,805774,43516
1000,13924,840877,43589
1000,13924,794878,61547
1000,13924,802636,41953
1000,13924,786915,41564
1000,13924,824133,44667
1000,13924,976647,51237
1000,13924,1123437,78871
1000,13924,1245346,49006
1000,13924,818309,46506
1000,13924,806462,43163
1000,13924,804662,42707
1000,13924,834758,43638
1000,13924,804738,42206
1000,13924,799665,43686
1000,13924,940456,53002
1000,13924,805513,44014
1000,14743,802824,42484
1000,14743,801627,43908
1000,14743,1025540,71750
1000,14743,804472,44635
1000,14743,799205,42859
