Pallet: "claims", Extrinsic: "keccak256", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
i,extrinsic_time,storage_root_time
9600,6819990,2417
9600,6807439,2481
9600,6816360,2523
9800,6952792,2524
9800,6962106,2518
9800,6951805,2447
9800,6954797,2524
9800,6969471,2547
9800,6952144,2414
9800,6956682,2460
9800,6950613,2426
9800,6962843,2466
9800,6964428,2403
9800,6957053,2523
9800,6961736,2522
9800,6962749,2450
9800,6951216,2483
9800,6957191,2932
9800,6957329,2615
9800,6963288,2470
9800,6969199,2410
9800,6943925,2543
9800,6959467,2900
10000,7132512,2581
10000,7107270,2577
10000,7096817,2496
10000,7096530,2492
10000,7098055,2462
10000,7101292,2497
10000,7097029,2438
10000,7092666,2440
10000,7133203,2517
10000,7101054,2499
10000,7094441,2502
10000,7092071,2448
10000,7099412,2504
10000,7101755,2486
10000,7101973,2513
10000,7095344,2382
10000,7089234,2503
10000,7092974,2458
10000,7108564,2540
10000,7106856,2457

Median Slopes Analysis
========

Model:
Time ~=    4.992
    + i    0.709
              µs

Min Squares Analysis
========

Data points distribution:
    i   mean µs  sigma µs       %
    0     0.721     0.014    1.9%
  200     143.1     0.215    0.1%
  400     284.9     0.043    0.0%
  600     426.7     0.332    0.0%
  800     569.6     0.401    0.0%
 1000     711.7     0.623    0.0%
 1200     854.6     0.901    0.1%
 1400     998.6     0.447    0.0%
 1600      1141     0.667    0.0%
 1800      1285     0.876    0.0%
 2000      1428     0.562    0.0%
 2200      1570      0.71    0.0%
 2400      1714     0.937    0.0%
 2600      1850     0.697    0.0%
 2800      1992      0.27    0.0%
 3000      2134     1.156    0.0%
 3200      2278      1.21    0.0%
 3400      2420     1.179    0.0%
 3600      2562      1.08    0.0%
 3800      2704     0.618    0.0%
 4000      2846     1.216    0.0%
 4200      2989     0.904    0.0%
 4400      3130     1.064    0.0%
 4600      3272     1.627    0.0%
 4800      3414     1.702    0.0%
 5000      3555     1.565    0.0%
 5200      3698     1.361    0.0%
 5400      3840     2.612    0.0%
 5600      3985     1.853    0.0%
 5800      4123     1.589    0.0%
 6000      4264     2.529    0.0%
 6200      4405     1.684    0.0%
 6400      4550     3.623    0.0%
 6600      4691     1.642    0.0%
 6800      4831     2.546    0.0%
 7000      4974     2.749    0.0%
 7200      5116     1.657    0.0%
 7400      5256     1.506    0.0%
 7600      5401     3.305    0.0%
 7800      5541     2.849    0.0%
 8000      5685     3.726    0.0%
 8200      5822      2.96    0.0%
 8400      5968     4.073    0.0%
 8600      6107     3.261    0.0%
 8800      6246     3.316    0.0%
 9000      6391     2.421    0.0%
 9200      6533     4.144    0.0%
 9400      6675     2.811    0.0%
 9600      6815     3.317    0.0%
 9800      6958     3.102    0.0%
10000      7098     2.345    0.0%

Quality and confidence:
param     error
i             0

Model:
Time ~=    5.601
    + i     0.71
              µs

