Pallet: "staking", Extrinsic: "do_slash", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
l,extrinsic_time,storage_root_time
818,116848,71481
818,116222,70593
818,116357,70700
818,116279,71285
818,115706,70384
818,116793,70851
818,116704,70740
818,116851,70749
818,116944,71691
818,116120,70871
818,116380,71076
818,116226,70704
818,119684,72040
818,116770,71070
818,116722,71030
818,116204,71225
818,116552,70686
818,116131,72011
818,116262,70738
818,116176,74018
837,118105,71688
837,117469,71212
837,117320,71121
837,117299,70898
837,118037,71463
837,117925,71693
837,117880,71289
837,118316,71192
837,117681,71317
837,118069,71475
837,117932,70966
837,117533,71354
837,117447,71543
837,117503,71053
837,118276,71307
837,117793,70991
837,117676,70982
837,118002,71079
837,118009,71713
837,117454,71429
856,118749,71678
856,119035,71369
856,118670,70711
856,118992,71791
856,119477,71501
856,118804,71604
856,118683,71067
856,118512,70668
856,118867,71808
856,118640,71176
856,118724,71282
856,118637,71374
856,118738,71192
856,118535,70931
856,118677,71252
856,122310,71434
856,119163,71890
856,118584,70666
856,118255,70831
856,118651,71296
875,121816,71247
875,120070,71037
875,121452,74259
875,120520,71492
875,120545,71079
875,119783,71082
875,120548,71187
875,120958,71263
875,121097,72128
875,120682,71336
875,120448,71254
875,120341,71186
875,120731,71334
875,120924,71644
875,120104,71222
875,120392,71155
875,120150,71630
875,120996,71345
875,120338,71393
875,120199,70952
894,121753,73421
894,121580,71492
894,121447,71431
894,121568,71725
894,121456,71833
894,121519,71808
894,121323,71280
894,120922,70948
894,121171,71110
894,120999,71212
894,121650,71528
894,121671,71335
894,120690,71435
894,121703,71694
894,122095,71310
894,121522,71038
894,121819,71301
894,122305,71726
894,122150,71764
894,121521,71300
913,122965,71265
913,123618,71592
913,123250,71365
913,122338,71641
913,122940,71922
913,124163,71149
913,123108,71117
913,122940,71110
913,122978,70914
913,122828,72372
913,123260,71402
913,122859,71022
913,123662,71000
913,123249,71549
913,122990,70978
913,123056,70891
913,123560,71760
913,123222,71009
913,122889,71369
913,123572,71079
932,123319,71334
932,123648,72118
932,123467,71095
932,123953,71062
932,123201,71243
932,123515,71640
932,124246,71160
932,123586,70735
932,123162,71293
932,123704,71106
932,123489,71418
932,123384,71407
932,123494,71678
932,124500,72106
932,123436,71053
932,123907,71159
932,123484,71298
932,123981,71485
932,123715,71598
932,124155,70473
951,126166,72133
951,125354,71285
951,125714,71892
951,124693,70739
951,125030,71445
951,125763,72081
951,125287,71239
951,125489,71725
951,124966,71470
951,125064,71382
951,125201,72087
951,125189,71210
951,125455,71760
951,125434,71331
951,157034,71587
951,125731,71416
951,125771,71611
951,124667,71617
951,124897,71732
951,125493,71677
970,125641,71497
970,126786,71992
970,126266,71368
970,125940,71795
970,126193,71349
970,126023,71325
970,125833,71912
970,125845,71250
970,127062,71043
970,126071,71652
970,126431,71418
970,126713,70926
970,126507,71313
970,126031,71332
970,126126,71861
970,126600,71353
970,125080,71348
970,126371,71381
970,126293,71840
970,126679,71556
989,127679,71803
989,127145,71768
989,127128,71640
989,127248,71317
989,126605,71250
989,127031,71410
989,127131,71522
989,126499,71093
989,127226,71278
989,127341,71568
989,126830,71782
989,126829,71509
989,126621,71424
989,126878,71620
989,126968,71249
989,126885,71510
989,127388,71462
989,126912,71405
989,127300,71748
989,126572,71202

Median Slopes Analysis
========

Model:
Time ~=    61.46
    + l    0.067
              µs

Min Squares Analysis
========

Data points distribution:
    l   mean µs  sigma µs       %
    1     59.52     0.072    0.1%
   20     62.49     0.206    0.3%
   39     63.23     0.104    0.1%
   58     64.27     0.064    0.0%
   77     66.04     0.114    0.1%
   96     67.68     0.128    0.1%
  115     69.45     0.155    0.2%
  134     70.93     0.112    0.1%
  153     71.55     0.086    0.1%
  172     72.62     0.084    0.1%
  191     74.82     0.119    0.1%
  210     75.72     0.148    0.1%
  229     76.45     0.173    0.2%
  248     77.59     0.124    0.1%
  267     79.96     0.139    0.1%
  286     81.28     0.122    0.1%
  305     82.04     0.113    0.1%
  324     83.57     0.129    0.1%
  343     84.46     0.089    0.1%
  362     86.05     0.133    0.1%
  381     87.34     0.247    0.2%
  400     89.03     0.139    0.1%
  419     89.75     0.171    0.1%
  438     90.42     0.204    0.2%
  457     92.06      0.19    0.2%
  476     94.19     0.154    0.1%
  495     95.92     0.183    0.1%
  514     96.72     0.133    0.1%
  533     98.22     0.157    0.1%
  552     99.21     0.093    0.0%
  571     100.3     0.089    0.0%
  590     101.7     0.097    0.0%
  609     102.8     0.161    0.1%
  628     104.3     0.141    0.1%
  647       105     0.159    0.1%
  666     106.5     0.141    0.1%
  685     108.5     0.183    0.1%
  704     109.1      0.17    0.1%
  723     110.2      0.09    0.0%
  742     111.7     0.154    0.1%
  761     112.8     0.169    0.1%
  780       114      0.13    0.1%
  799     115.4     0.149    0.1%
  818     116.4     0.207    0.1%
  837     117.7     0.176    0.1%
  856     118.7     0.068    0.0%
  875     120.5     0.177    0.1%
  894     121.5     0.083    0.0%
  913     123.1     0.125    0.1%
  932     123.6     0.135    0.1%
  951     125.3     0.179    0.1%
  970     126.2     0.161    0.1%
  989       127      0.13    0.1%

Quality and confidence:
param     error
l             0

Model:
Time ~=    61.32
    + l    0.068
              µs

