Pallet: "staking", Extrinsic: "payout_stakers", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
n,extrinsic_time_ns,storage_root_time_ns
36,2063112,488836
36,2049534,486324
36,2060768,486409
36,2063160,486757
36,2091102,487104
36,2035810,485357
37,2096633,492889
37,2115215,495443
37,2109310,494750
37,2097485,498240
37,2112526,493260
37,2143222,494721
37,2107024,492681
37,2118232,492641
37,2116042,494357
37,2146941,493687
37,2122431,492790
37,2118123,495303
37,2108822,498263
37,2120284,495166
37,2104334,497885
37,2114189,494022
37,2112541,494564
37,2102919,495098
37,2143930,494050
37,2111005,492893
38,2174729,501838
38,2170782,504453
38,2167644,500959
38,2176495,502707
38,2176139,501385
38,2185181,500391
38,2170299,502018
38,2173839,502710
38,2185402,503856
38,2166716,500686
38,2202519,500126
38,2167325,499941
38,2184343,499533
38,2175608,499275
38,2171032,502135
38,2168306,503658
38,2166826,500925
38,2174209,500288
38,2179625,500905
38,2162054,499850
39,2202219,508955
39,2201358,506341
39,2214032,505933
39,2226129,507007
39,2210657,504860
39,2210848,508807
39,2251910,508020
39,2216235,507587
39,2197183,507845
39,2224057,506240
39,2216347,509527
39,2190583,507128
39,2225172,506820
39,2203726,505662
39,2225996,506826
39,2217451,510682
39,2216611,507626
39,2261119,507136
39,2230654,507290
39,2244233,507227
40,2296911,517259
40,2270425,514976
40,2279793,512841
40,2299666,517711
40,2298264,515232
40,2295929,512963
40,2268979,513302
40,2290428,513615
40,2284778,512392
40,2285376,512033
40,2285183,512930
40,2291957,515781
40,2279398,514737
40,2283171,512463
40,2289992,517176
40,2297347,515880
40,2337136,514769
40,2285469,513647
40,2313533,515879
40,2279756,528891
41,2319696,525096
41,2321397,525374
41,2311767,527957
41,2299385,525991
41,2329455,523660
41,2317408,527078
41,2313166,525724
41,2324248,525175
41,2315293,522702
41,2319759,525535
41,2315855,525421
41,2315071,523806
41,2314643,525574
41,2325522,521748
41,2303208,527030
41,2322807,524996
41,2344819,526258
41,2301466,523858
41,2353273,523675
41,2305115,524456
42,2395198,531779
42,2379217,533626
42,2383049,531479
42,2386730,531798
42,2377171,532014
42,2396898,532863
42,2387091,533195
42,2380360,532723
42,2390095,531938
42,2392957,532424
42,2397631,532013
42,2404406,532029
42,2372512,532937
42,2382049,531964
42,2383781,530580
42,2378491,532465
42,2389596,532963
42,2411082,533347
42,2405668,538039
42,2373253,533478
43,2440705,541215
43,2429487,540448
43,2441267,539178
43,2424556,541672
43,2482543,538685
43,2450171,541755
43,2443722,542117
43,2418792,541549
43,2429972,545141
43,2443876,540588
43,2456984,541643
43,2446789,540614
43,2447307,540752
43,2446247,540813
43,2485746,542405
43,2442032,543982
43,2445056,542712
43,2455716,541983
43,2459062,541368
43,2441407,541007
44,2503709,577868
44,2501541,574591
44,2494336,576098
44,2488458,575428
44,2505624,575516
44,2503020,573836
44,2475459,577882
44,2472918,575669
44,2506785,574596
44,2482426,575388
44,2468748,575978
44,2488963,574513
44,2489070,576161
44,2509547,574180
44,2492981,574564
44,2501232,576088
44,2487996,575380
44,2491903,573372
44,2496458,575579
44,2516158,574604
45,2563649,588927
45,2538209,586294
45,2533109,586677
