Pallet: "treasury", Extrinsic: "tip_new", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,t,extrinsic_time,storage_root_time
16384,1,67856,61705
16384,1,68414,62290
16384,1,68200,62148
16384,1,67950,61530
16384,1,68085,61325
16384,1,67956,61622
16384,1,68246,64258
16384,1,67828,61336
16384,1,67941,61058
16384,1,67886,60880
16384,1,67928,61593
16384,1,67775,61208
16384,1,67869,61182
16384,1,67664,61455
16384,1,67425,60680
16384,1,67595,61326
16384,2,68446,65162
16384,2,68521,63951
16384,2,68265,63314
16384,2,67930,63660
16384,2,67892,63109
16384,2,68032,64347
16384,2,68421,63553
16384,2,67860,63365
16384,2,68124,63236
16384,2,68326,63398
16384,2,68204,63559
16384,2,71135,63823
16384,2,68320,62852
16384,2,68022,63272
16384,2,67848,62842
16384,2,67915,63645
16384,2,68132,62845
16384,2,67823,63149
16384,2,68011,63306
16384,2,67969,63338
16384,3,68993,64556
16384,3,68658,62341
16384,3,68831,61858
16384,3,68449,61799
16384,3,68057,61665
16384,3,68312,62407
16384,3,68998,61488
16384,3,68527,62071
16384,3,68589,61365
16384,3,68555,62335
16384,3,68263,61433
16384,3,68746,62307
16384,3,68321,61504
16384,3,68192,61695
16384,3,68498,61768
16384,3,68608,61608
16384,3,68362,61739
16384,3,68100,61535
16384,3,68376,61384
16384,3,68147,61610
16384,4,69154,62830
16384,4,68899,61173
16384,4,68926,61251
16384,4,69000,61976
16384,4,69385,61502
16384,4,68596,61156
16384,4,68847,61188
16384,4,68575,61263
16384,4,68985,62087
16384,4,68534,61495
16384,4,71463,61661
16384,4,68540,61314
16384,4,68745,61640
16384,4,68359,61377
16384,4,68696,61345
16384,4,68615,61663
16384,4,68625,61008
16384,4,68566,61839
16384,4,68767,61304
16384,4,68796,61250
16384,5,69461,62020
16384,5,68694,61665
16384,5,69145,61668
16384,5,68892,61520
16384,5,69159,61420
16384,5,69342,61858
16384,5,69258,61214
16384,5,68822,61615
16384,5,69108,60984
16384,5,69042,62501
16384,5,68985,61360
16384,5,68510,61173
16384,5,68571,61374
16384,5,68921,61773
16384,5,69026,61756
16384,5,68838,61495
16384,5,68764,61140
16384,5,68438,61406
16384,5,68776,61562
16384,5,68638,61751
16384,6,69016,63715
16384,6,68548,61642
16384,6,68359,61812
16384,6,68688,61829
16384,6,68720,61310
16384,6,68143,61362
16384,6,68228,61973
16384,6,68755,61891
16384,6,68318,61486
16384,6,68281,61882
16384,6,68438,61533
16384,6,68042,61643
16384,6,68095,61240
16384,6,68278,61728
16384,6,68248,61837
16384,6,68239,61533
16384,6,68113,60959
16384,6,68406,61653
16384,6,68556,61601
16384,6,68540,61518
16384,7,69303,61999
16384,7,69476,61937
16384,7,69093,61363
16384,7,69057,62012
16384,7,69886,61464
16384,7,69189,62059
16384,7,69704,61637
16384,7,69113,62019
16384,7,69017,60841
16384,7,69147,62220
16384,7,69155,61344
