Pallet: "treasury", Extrinsic: "retract_tip", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
9810,43057,2190,1,7,2,3
9810,43503,2181,1,7,2,3
9810,43105,2178,1,7,2,3
9810,46296,2282,1,7,2,3
9810,43672,2298,1,7,2,3
9810,43441,2200,1,7,2,3
9810,43594,2194,1,7,2,3
9810,43513,2130,1,7,2,3
9810,43953,2142,1,7,2,3
9810,43570,2151,1,7,2,3
9810,43473,2190,1,7,2,3
10137,43606,2203,1,7,2,3
10137,43561,2323,1,7,2,3
10137,43081,2276,1,7,2,3
10137,43609,2154,1,7,2,3
10137,43251,2194,1,7,2,3
10137,43426,2199,1,7,2,3
10137,43511,2240,1,7,2,3
10137,43576,2227,1,7,2,3
10137,43192,2158,1,7,2,3
10137,43501,2236,1,7,2,3
10137,43467,2054,1,7,2,3
10137,43383,2274,1,7,2,3
10137,43393,2135,1,7,2,3
10137,43045,2195,1,7,2,3
10137,43759,2222,1,7,2,3
10137,43772,2239,1,7,2,3
10137,43441,2239,1,7,2,3
10137,43379,2224,1,7,2,3
10137,43253,2231,1,7,2,3
10137,43459,2203,1,7,2,3
10464,43753,2207,1,7,2,3
10464,43844,2043,1,7,2,3
10464,43722,2091,1,7,2,3
10464,43713,2165,1,7,2,3
10464,44118,2074,1,7,2,3
10464,44225,2287,1,7,2,3
10464,43868,2108,1,7,2,3
10464,43542,2162,1,7,2,3
10464,44101,2117,1,7,2,3
10464,44175,2164,1,7,2,3
10464,44401,2097,1,7,2,3
10464,44061,2184,1,7,2,3
10464,43979,2043,1,7,2,3
10464,44208,2174,1,7,2,3
10464,43756,2121,1,7,2,3
10464,43866,2128,1,7,2,3
10464,43756,2112,1,7,2,3
10464,43630,2150,1,7,2,3
10464,43712,2110,1,7,2,3
10464,43730,2120,1,7,2,3
10791,43955,2129,1,7,2,3
10791,43991,2312,1,7,2,3
10791,43677,2037,1,7,2,3
10791,43582,2233,1,7,2,3
10791,43165,2245,1,7,2,3
10791,43140,2146,1,7,2,3
10791,43423,2135,1,7,2,3
10791,43282,2170,1,7,2,3
10791,43290,2171,1,7,2,3
10791,43908,2193,1,7,2,3
10791,43590,2125,1,7,2,3
10791,43203,2126,1,7,2,3
10791,43306,2165,1,7,2,3
10791,43918,2319,1,7,2,3
10791,43732,2191,1,7,2,3
10791,43130,2110,1,7,2,3
10791,43237,2216,1,7,2,3
10791,44181,2286,1,7,2,3
10791,43563,2082,1,7,2,3
10791,43424,2144,1,7,2,3
11118,43782,2193,1,7,2,3
11118,43930,2214,1,7,2,3
11118,43391,2155,1,7,2,3
11118,44195,2189,1,7,2,3
11118,44297,2199,1,7,2,3
11118,43335,2207,1,7,2,3
11118,43391,2224,1,7,2,3
11118,43536,2111,1,7,2,3
11118,43357,2221,1,7,2,3
11118,43560,2142,1,7,2,3
11118,43438,2148,1,7,2,3
11118,43672,2168,1,7,2,3
11118,43413,2198,1,7,2,3
11118,43733,2139,1,7,2,3
11118,43385,2026,1,7,2,3
11118,43821,2163,1,7,2,3
11118,43542,2092,1,7,2,3
11118,43410,2191,1,7,2,3
11118,43703,2119,1,7,2,3
11118,43878,2159,1,7,2,3
11445,43838,2076,1,7,2,3
11445,43604,2178,1,7,2,3
11445,44039,2161,1,7,2,3
11445,43937,2134,1,7,2,3
11445,43837,2162,1,7,2,3
11445,43874,2166,1,7,2,3
11445,43280,2219,1,7,2,3
11445,44213,2115,1,7,2,3
11445,43663,2158,1,7,2,3
11445,44346,2209,1,7,2,3
11445,43808,2188,1,7,2,3
11445,43611,2166,1,7,2,3
11445,43570,2195,1,7,2,3
11445,43781,2221,1,7,2,3
11445,43725,2134,1,7,2,3
11445,43693,2213,1,7,2,3
11445,43797,2130,1,7,2,3
11445,43682,2157,1,7,2,3
11445,43759,2114,1,7,2,3
11445,43909,2204,1,7,2,3
11772,43678,2297,1,7,2,3
11772,43651,2127,1,7,2,3
11772,43475,2203,1,7,2,3
11772,43757,2186,1,7,2,3
11772,43990,2178,1,7,2,3
11772,43940,2258,1,7,2,3
11772,43742,2191,1,7,2,3
11772,43875,2196,1,7,2,3
11772,43303,2200,1,7,2,3
11772,43441,2101,1,7,2,3
11772,43386,2265,1,7,2,3
11772,43429,2221,1,7,2,3
11772,43478,2172,1,7,2,3
11772,43936,2247,1,7,2,3
11772,43748,2200,1,7,2,3
11772,43537,2261,1,7,2,3
11772,43981,2180,1,7,2,3
11772,43502,2128,1,7,2,3
11772,43646,2255,1,7,2,3
11772,43739,2184,1,7,2,3
12099,44815,2347,1,7,2,3
12099,43709,2113,1,7,2,3
12099,43894,2137,1,7,2,3
12099,43944,2045,1,7,2,3
12099,43661,2208,1,7,2,3
12099,43575,2146,1,7,2,3
12099,44038,2170,1,7,2,3
12099,43901,2137,1,7,2,3
12099,43770,2198,1,7,2,3
12099,43779,2201,1,7,2,3
12099,43847,2176,1,7,2,3
12099,43598,2207,1,7,2,3
12099,43718,2022,1,7,2,3
12099,43836,2185,1,7,2,3
12099,43684,2208,1,7,2,3
12099,43885,2207,1,7,2,3
12099,44431,2263,1,7,2,3
12099,43946,2127,1,7,2,3
12099,44126,2140,1,7,2,3
12099,43910,2092,1,7,2,3
12426,43442,2085,1,7,2,3
12426,43219,2214,1,7,2,3
12426,43454,2127,1,7,2,3
12426,43307,2170,1,7,2,3
12426,43478,2118,1,7,2,3
12426,43573,2024,1,7,2,3
12426,43543,2176,1,7,2,3
12426,43479,2146,1,7,2,3
12426,43613,2166,1,7,2,3
12426,43369,2239,1,7,2,3
12426,43465,2151,1,7,2,3
12426,44241,2179,1,7,2,3
12426,43309,2225,1,7,2,3
12426,43103,2194,1,7,2,3
12426,43514,2136,1,7,2,3
12426,43679,2227,1,7,2,3
12426,43606,2169,1,7,2,3
12426,43565,2184,1,7,2,3
12426,43308,2130,1,7,2,3
12426,43756,2195,1,7,2,3
12753,43630,2269,1,7,2,3
12753,43407,2151,1,7,2,3
12753,43416,2179,1,7,2,3
12753,43326,2256,1,7,2,3
12753,43637,2191,1,7,2,3
12753,42919,2219,1,7,2,3
12753,43553,2174,1,7,2,3
12753,43544,2236,1,7,2,3
12753,43718,2283,1,7,2,3
12753,43458,2231,1,7,2,3
12753,43595,2114,1,7,2,3
12753,43582,2270,1,7,2,3
12753,43391,2181,1,7,2,3
12753,43696,2165,1,7,2,3
12753,43461,2224,1,7,2,3
12753,43312,2237,1,7,2,3
12753,43344,2270,1,7,2,3
12753,43443,2246,1,7,2,3
12753,43122,2128,1,7,2,3
12753,43546,2210,1,7,2,3
13080,44008,2150,1,7,2,3
13080,43933,2145,1,7,2,3
13080,44145,2273,1,7,2,3
13080,43734,2211,1,7,2,3
13080,43391,2154,1,7,2,3
13080,44015,2221,1,7,2,3
