Pallet: "elections", Extrinsic: "vote", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
x,l,extrinsic_time,storage_root_time
    5    20     52.04     0.134    0.2%
    6    20     51.91     0.088    0.1%
    7    20     51.81     0.125    0.2%
    8    20     51.94       0.1    0.1%
    9    20     51.95     0.079    0.1%
   10    20     52.09     0.147    0.2%
   11    20     52.05     0.203    0.3%
   12    20     51.99     0.078    0.1%
   13    20      52.1     0.127    0.2%
   14    20     51.88     0.124    0.2%
   15    20     52.08     0.082    0.1%
   16     1     47.07     0.121    0.2%
   16     2     47.93     0.095    0.1%
   16     3     47.95     0.053    0.1%
   16     4     48.57     0.099    0.2%
   16     5     48.77     0.066    0.1%
   16     6     49.05     0.093    0.1%
   16     7     48.96     0.092    0.1%
   16     8     49.55      0.09    0.1%
   16     9     49.83     0.098    0.1%
   16    10     50.17     0.057    0.1%
   16    11     50.33     0.114    0.2%
   16    12     50.37     0.096    0.1%
   16    13      50.3     0.037    0.0%
   16    14     50.65     0.142    0.2%
   16    15     50.71     0.114    0.2%
   16    16     51.44     0.135    0.2%
   16    17     51.34     0.073    0.1%
   16    18     51.65     0.084    0.1%
   16    19     51.82     0.103    0.1%
   16    20     52.01     0.083    0.1%

Quality and confidence:
param     error
x         0.003
l         0.002

Model:
Time ~=    47.38
    + x    0.007
    + l     0.23
              µs

