Pallet: "identity", Extrinsic: "clear_identity", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,s,x,extrinsic_time,storage_root_time
50,21,100,466266,222187
50,21,100,453570,215041
50,21,100,480643,215649
50,21,100,500197,226921
50,21,100,451647,216952
50,21,100,512968,323971
50,21,100,494259,239496
50,21,100,479894,223169
50,25,100,480260,236933
50,25,100,479616,232968
50,25,100,526576,238929
50,25,100,490706,231350
50,25,100,520108,256358
50,25,100,531574,254095
50,25,100,482770,236914
50,25,100,467441,239591
50,25,100,502264,231289
50,25,100,473272,245988
50,25,100,475482,236529
50,25,100,484768,233705
50,25,100,472444,232214
50,25,100,490142,247205
50,25,100,476430,252639
50,25,100,512295,231519
50,25,100,482252,234010
50,25,100,506306,239698
50,25,100,476394,232712
50,25,100,477832,244578
50,29,100,520304,302591
50,29,100,495008,295466
50,29,100,499582,259814
50,29,100,509359,269631
50,29,100,490514,271263
50,29,100,525964,289160
50,29,100,492451,281309
50,29,100,488779,288832
50,29,100,516779,269124
50,29,100,518124,261570
50,29,100,510798,259152
50,29,100,494380,280288
50,29,100,503596,272280
50,29,100,487328,258942
50,29,100,497605,268989
50,29,100,496879,262612
50,29,100,490369,257684
50,29,100,514343,344897
50,29,100,535976,274881
50,29,100,525615,289640
50,33,100,552944,284709
50,33,100,538082,295404
50,33,100,529371,278621
50,33,100,512981,281437
50,33,100,507953,314419
50,33,100,515779,309002
50,33,100,510583,281422
50,33,100,547237,288605
50,33,100,525412,304739
50,33,100,523198,286023
50,33,100,569877,290208
50,33,100,507524,294792
50,33,100,540551,290969
50,33,100,530467,292314
50,33,100,529943,323246
50,33,100,537107,288404
50,33,100,519504,298301
50,33,100,537457,293898
50,33,100,579844,337432
50,33,100,553441,295294
50,37,100,533232,319470
50,37,100,538083,310947
50,37,100,584182,304684
50,37,100,542078,312561
50,37,100,570173,308237
50,37,100,572143,312761
50,37,100,537854,315198
50,37,100,551616,305274
50,37,100,541460,328407
50,37,100,534302,303583
50,37,100,546119,303477
50,37,100,556176,303835
50,37,100,553711,301369
50,37,100,542620,307752
50,37,100,550253,306359
50,37,100,567416,306960
50,37,100,558237,316799
50,37,100,561728,305644
50,37,100,630425,313441
50,37,100,534354,328714
50,41,100,559108,335588
50,41,100,554762,324335
50,41,100,566450,337117
50,41,100,561714,334900
50,41,100,569095,331510
50,41,100,602391,328176
50,41,100,560234,324246
50,41,100,567620,355497
50,41,100,557731,354026
50,41,100,559948,352837
50,41,100,587157,375145
50,41,100,578988,332753
50,41,100,551921,340659
50,41,100,580227,327784
50,41,100,564907,365899
50,41,100,556020,321756
50,41,100,580936,347799
50,41,100,579346,408252
50,41,100,569206,335829
50,41,100,560125,328933
50,45,100,601562,361100
50,45,100,575539,364505
50,45,100,588595,358276
50,45,100,581496,363564
50,45,100,596530,359477
50,45,100,602479,355867
50,45,100,579403,357911
50,45,100,570260,341331
50,45,100,610367,349366
50,45,100,571144,341437
50,45,100,593802,360626
50,45,100,590073,347635
50,45,100,623137,359939
50,45,100,590418,364179
50,45,100,572848,346313
50,45,100,581047,354049
50,45,100,713951,376075
50,45,100,580250,378041
50,45,100,582039,383706
50,45,100,587269,354337
50,49,100,601241,486702
50,49,100,611288,396861
50,49,100,650599,381431
50,49,100,602354,387354
50,49,100,613661,370635
50,49,100,627194,376226
50,49,100,616459,398275
50,49,100,590511,382981
50,49,100,593874,432308
50,49,100,595120,367522
50,49,100,613557,409736
50,49,100,603933,378879
50,49,100,601153,419095
50,49,100,598189,378277
50,49,100,600285,400704
50,49,100,632576,416333
50,49,100,644556,378442
50,49,100,604791,386780
50,49,100,590586,372155
50,49,100,614197,364060
50,53,100,625599,409485
50,53,100,662601,402073
50,53,100,619168,389724
50,53,100,627253,383521
50,53,100,624711,403248
50,53,100,636905,390484
50,53,100,612660,380878
50,53,100,647517,395226
50,53,100,691506,396868
50,53,100,612932,383247
50,53,100,637207,411351
50,53,100,671282,380323
50,53,100,626356,400102
50,53,100,615775,378440
50,53,100,641807,391054
50,53,100,624741,389713
50,53,100,625437,380650
50,53,100,980578,486198
50,53,100,741062,438040
50,53,100,622887,377881
50,57,100,724200,421646
50,57,100,631226,398514
50,57,100,625762,425783
50,57,100,671991,464386
50,57,100,661159,412448
50,57,100,660060,398902
50,57,100,638016,393086
50,57,100,681962,414246
50,57,100,646770,411104
50,57,100,633689,394658
50,57,100,639368,427363
50,57,100,652155,411131
50,57,100,663738,411472
50,57,100,652405,403563
50,57,100,683045,412180
50,57,100,641021,405047
50,57,100,644503,394608
50,57,100,642701,426961
50,57,100,634470,421252
50,57,100,650339,412977
50,61,100,672844,449675
50,61,100,668084,424009
50,61,100,668815,435027
50,61,100,697010,463870
50,61,100,666193,434646
50,61,100,663356,415168
50,61,100,652031,427348
50,61,100,671152,452501
50,61,100,657732,442887
50,61,100,661767,470302
50,61,100,685527,435907
50,61,100,784427,526696
50,61,100,715607,468580
50,61,100,673866,433053
50,61,100,653051,414172
50,61,100,661967,417442
50,61,100,720008,438200
50,61,100,683237,421931
50,61,100,682472,432322
50,61,100,680633,422358
50,65,100,667035,433559
50,65,100,685318,439663
50,65,100,692376,465446
50,65,100,677605,441438
50,65,100,671380,452370
50,65,100,677517,451717
50,65,100,692567,439556
50,65,100,677689,458665
50,65,100,693542,434352
50,65,100,705337,444466
50,65,100,715933,481511
50,65,100,675255,451246
50,65,100,700545,451962
50,65,100,669838,446274
50,65,100,673980,460416
50,65,100,724680,487078
50,65,100,790323,461604
50,65,100,701051,449819
50,65,100,692956,436986
50,65,100,835950,496205
50,69,100,722607,492468
50,69,100,713820,474078
50,69,100,710220,487594
50,69,100,733470,476168
50,69,100,700482,477936
50,69,100,711974,508642
50,69,100,712109,492074
50,69,100,700594,471911
50,69,100,714926,475946
50,69,100,697525,479555
50,69,100,729426,490687
50,69,100,732641,537550
50,69,100,737878,490675
50,69,100,708204,487679
50,69,100,729065,505725
50,69,100,708513,487274
50,69,100,752638,503359
50,69,100,691551,481975
50,69,100,701466,514686
50,69,100,745381,491249
50,73,100,793895,567629
50,73,100,726850,561063
50,73,100,731251,502455
50,73,100,719353,528304
50,73,100,718612,510053
50,73,100,750749,538877
50,73,100,844613,536035
50,73,100,774206,522351
50,73,100,731972,509840
50,73,100,719346,495351
50,73,100,788047,515133
50,73,100,788914,593721
50,73,100,818771,508347
50,73,100,786668,525885
50,73,100,712816,503963
50,73,100,774850,501226
50,73,100,739070,495774
50,73,100,739899,508637
50,73,100,742773,492485
50,73,100,730564,554119
50,77,100,743487,532506
50,77,100,787206,565225
50,77,100,744186,533600
50,77,100,764428,537028
50,77,100,748496,516134
