Pallet: "collective", Extrinsic: "execute", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,b,extrinsic_time,storage_root_time
495,1024,79477,17143
495,1024,79640,17015
495,1024,79863,17154
495,1024,79460,17110
514,1024,81915,17373
514,1024,81376,17079
514,1024,81641,17077
514,1024,81279,17290
514,1024,81543,17171
514,1024,81488,16953
514,1024,81491,17015
514,1024,81246,17040
514,1024,81206,16807
514,1024,81283,17004
514,1024,81267,17031
514,1024,81218,17104
514,1024,81244,17242
514,1024,81285,16915
514,1024,81329,16947
514,1024,81160,16987
514,1024,81030,17055
514,1024,81648,17147
514,1024,81379,17149
514,1024,81389,16983
533,1024,84129,17214
533,1024,84319,17248
533,1024,86912,17467
533,1024,84030,17240
533,1024,84178,17114
533,1024,84181,17288
533,1024,84100,16931
533,1024,84139,17137
533,1024,83995,17016
533,1024,84103,17225
533,1024,84116,17364
533,1024,83916,17236
533,1024,81866,17149
533,1024,84352,17407
533,1024,81819,17188
533,1024,82565,17124
533,1024,83705,17251
533,1024,84386,17236
533,1024,84278,17223
533,1024,84029,17138
552,1024,85778,17076
552,1024,85220,17306
552,1024,85672,17125
552,1024,85095,17395
552,1024,85532,17255
552,1024,85178,17068
552,1024,85595,16909
552,1024,83549,17104
552,1024,85664,16919
552,1024,85597,17258
552,1024,85502,17109
552,1024,85303,17188
552,1024,85105,17204
552,1024,85358,17099
552,1024,83251,17148
552,1024,85353,17021
552,1024,85319,16972
552,1024,85374,17205
552,1024,85544,17094
552,1024,85296,17230
571,1024,88058,17160
571,1024,85847,17365
571,1024,88223,17044
571,1024,88110,17126
571,1024,87975,16993
571,1024,85981,17397
571,1024,88219,17208
571,1024,87803,17228
571,1024,86143,17223
571,1024,86050,17150
571,1024,88387,17439
571,1024,88249,17105
571,1024,85826,17156
571,1024,87880,17037
571,1024,87884,16989
571,1024,88212,17126
571,1024,88428,17098
571,1024,88086,17020
571,1024,88215,17130
571,1024,88041,17367
590,1024,89644,17234
590,1024,87471,16983
590,1024,89287,16972
590,1024,88968,17235
590,1024,89223,17016
590,1024,89430,17009
590,1024,89570,17018
590,1024,89499,17095
590,1024,89559,17076
590,1024,89249,16876
590,1024,89402,17110
590,1024,89396,17012
590,1024,89220,17047
590,1024,89161,17044
590,1024,89606,17116
590,1024,89615,17296
590,1024,89458,16770
590,1024,89465,16897
590,1024,89375,17084
590,1024,89422,17154
609,1024,92191,17632
609,1024,92462,17357
609,1024,92192,18058
609,1024,92166,17101
609,1024,92271,17341
609,1024,92195,17400
609,1024,92024,17697
609,1024,92112,17097
609,1024,92135,17153
609,1024,92014,16966
609,1024,92245,17211
609,1024,91806,16892
609,1024,91935,17248
609,1024,92249,17187
609,1024,104817,17523
609,1024,91658,17259
609,1024,91978,17237
609,1024,89521,17104
609,1024,92002,17267
609,1024,92183,17423
628,1024,94500,17797
628,1024,94450,17823
628,1024,91534,17115
628,1024,91785,17193
628,1024,94585,17467
628,1024,94175,17145
628,1024,94119,17176
628,1024,94447,17440
628,1024,94161,17371
628,1024,93809,17465
628,1024,94414,17374
628,1024,94205,17139
628,1024,94428,17629
628,1024,94590,17761
628,1024,94226,17455
628,1024,94252,17208
628,1024,94590,17378
628,1024,91879,16968
628,1024,94098,17306
628,1024,94217,17174
647,1024,96927,17530
647,1024,96097,17096
647,1024,96140,17282
647,1024,97045,17641
647,1024,96306,17665
647,1024,96280,17264
647,1024,95983,17601
647,1024,94118,17518
647,1024,95823,17145
647,1024,96112,17531
647,1024,95917,17283
647,1024,94518,17164
647,1024,100959,17595
647,1024,96741,17796
647,1024,96119,17530
647,1024,96349,17551
647,1024,96817,17674
647,1024,96030,17212
647,1024,96074,17373
647,1024,93513,17127
666,1024,98406,17506
666,1024,99583,17667
666,1024,98761,17948
666,1024,98212,17258
666,1024,98547,17199
666,1024,96741,17570
666,1024,98264,17856
666,1024,98478,17263
666,1024,99071,17493
666,1024,98549,18125
666,1024,98561,17491
666,1024,98529,17447
666,1024,98355,17422
666,1024,95912,17333
666,1024,98081,17371
666,1024,96346,17449
666,1024,99445,18083
666,1024,98353,17834
666,1024,98816,17618
666,1024,98564,17547
685,1024,100020,17472
685,1024,100377,17332
685,1024,98440,17278
685,1024,100306,17927
685,1024,99868,17296
685,1024,99921,17927
685,1024,100514,17321
685,1024,107960,17764
685,1024,100925,17589
685,1024,100360,17972
685,1024,99876,17265
685,1024,99855,17351
685,1024,98237,17481
685,1024,99882,17255
685,1024,97594,17224
685,1024,100916,18021
685,1024,100302,17435
685,1024,98087,17356
685,1024,100180,17520
685,1024,99854,17306
704,1024,102649,17382
704,1024,102562,17916
704,1024,101939,17525
704,1024,101677,17476
704,1024,101698,17665
704,1024,102069,17450
704,1024,103278,18522
704,1024,102328,17563
704,1024,101903,17491
704,1024,99503,17608
704,1024,101525,17116
704,1024,102668,18063
704,1024,99983,17679
704,1024,99770,17569
704,1024,101649,17295
704,1024,101622,17124
704,1024,105687,17973
704,1024,101910,17664
704,1024,102188,17538
704,1024,99251,17210
723,1024,103952,17251
723,1024,104885,18328
723,1024,104496,17791
723,1024,102093,17197
723,1024,101413,17472
723,1024,104685,17230
723,1024,104275,18081
723,1024,104284,17604
723,1024,104094,17554
723,1024,101756,17156
723,1024,104798,18194
723,1024,104278,17485
723,1024,103826,17310
723,1024,103714,17514
723,1024,104944,17515
723,1024,103918,17945
723,1024,104136,17456
723,1024,104179,17551
723,1024,106693,17862
723,1024,104797,18317
742,1024,103356,17770
742,1024,105879,17424
742,1024,105737,17501
742,1024,106984,18320
742,1024,106009,17611
742,1024,102880,17449
742,1024,105531,17466
742,1024,106786,18037
742,1024,105997,17782
742,1024,103253,17532
742,1024,102968,17579
742,1024,104295,18256
742,1024,106361,17734
742,1024,106115,17548
742,1024,105745,17599
742,1024,107061,18326
742,1024,106276,17802
742,1024,105740,17434
742,1024,106316,17528
742,1024,106772,18045
761,1024,106115,17884
761,1024,105402,17457
761,1024,108091,17365
761,1024,109127,18252
761,1024,108358,17611
761,1024,107945,17441
761,1024,109020,17787
761,1024,108622,18151
761,1024,105755,17515
761,1024,108096,17370
761,1024,108836,17996
761,1024,108660,17857
761,1024,107934,17718
761,1024,108748,17550
761,1024,108095,18145
761,1024,108409,17683
761,1024,108194,17426
761,1024,106072,18316
761,1024,107904,17591
761,1024,108151,17665
780,1024,112197,17700
780,1024,110050,18143
780,1024,110034,17424
780,1024,110132,17625
780,1024,111265,18147
780,1024,110305,17782
780,1024,112273,17600
780,1024,111066,18064
780,1024,109858,17753
780,1024,110135,17713
780,1024,124135,17848
780,1024,107820,18230
780,1024,110022,17720
780,1024,109662,17518
780,1024,110736,18280
780,1024,109998,17620
780,1024,109950,17540
780,1024,111320,18336
780,1024,110493,17755
780,1024,109775,17588
799,1024,111877,18130
799,1024,111376,17634
799,1024,111283,17386
799,1024,111743,17897
799,1024,111452,17509
799,1024,108578,17509
799,1024,112375,18157
799,1024,108700,17518
799,1024,111357,17623
799,1024,112116,18228
799,1024,111386,17706
799,1024,111180,17434
799,1024,112096,18157
799,1024,111976,17640
799,1024,111147,17481
799,1024,111959,18113
799,1024,111237,17490
799,1024,111194,17782
799,1024,112237,18063
799,1024,111357,17286
818,1024,113006,17364
818,1024,114130,18266
818,1024,113340,17333
818,1024,113223,17582
818,1024,113872,18175
818,1024,113212,17593
818,1024,114182,17534
818,1024,113819,18582
818,1024,116436,17795
818,1024,113889,18358
818,1024,113327,17359
818,1024,110185,17418
818,1024,111149,17918
818,1024,110211,17579
818,1024,113060,17622
818,1024,114127,18249
818,1024,113515,17457
818,1024,114141,17795
818,1024,113615,17808
818,1024,110338,17212
837,1024,114304,18146
837,1024,115829,17693
837,1024,115445,17511
837,1024,116654,18093
837,1024,116024,17391
837,1024,116714,17922
837,1024,116014,17312
837,1024,115500,17596
837,1024,113635,18319
837,1024,115655,17588
837,1024,116456,17865
837,1024,116120,17885
837,1024,115659,17665
837,1024,113594,18076
837,1024,116077,17453
837,1024,116694,17738
837,1024,115773,18067
837,1024,115682,17582
837,1024,116861,18370
837,1024,115707,17189
856,1024,118894,17769
856,1024,117564,17796
856,1024,114929,17519
856,1024,118155,17979
856,1024,118677,17545
856,1024,118601,18352
856,1024,117609,17697
856,1024,117476,17334
856,1024,115474,18124
856,1024,117531,17520
856,1024,118245,17941
856,1024,117835,17482
856,1024,117937,18179
856,1024,114918,18045
856,1024,114609,17396
856,1024,114687,18243
856,1024,117766,17763
856,1024,118626,18393
856,1024,114417,17714
856,1024,117903,17831
875,1024,120762,18304
875,1024,119493,17584
875,1024,120522,18278
875,1024,120241,17613
875,1024,120355,18186
875,1024,119849,17647
875,1024,120368,18129
875,1024,119602,17712
875,1024,120277,17823
875,1024,119730,17960
875,1024,119301,17745
875,1024,120172,18141
875,1024,119673,17622
875,1024,120096,18320
875,1024,116130,17735
875,1024,116790,18295
875,1024,116593,17759
875,1024,116853,18095
875,1024,119458,17825
875,1024,119469,17640
894,1024,119395,18325
894,1024,121877,17679
894,1024,122390,18152
894,1024,121677,17542
894,1024,122679,18303
894,1024,121982,17691
894,1024,118793,18060
894,1024,121966,17794
894,1024,122446,18308
894,1024,122041,17753
894,1024,122481,18099
894,1024,119701,17991
894,1024,122904,18409
894,1024,122073,17698
894,1024,122304,18196
894,1024,119009,17810
894,1024,122650,17961
894,1024,121938,18004
894,1024,122720,18165
894,1024,122024,17988
913,1024,124457,17781
913,1024,126777,18327
913,1024,123626,17903
913,1024,124132,17928
913,1024,123127,17691
