Pallet: "staking", Extrinsic: "rebond", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
l,extrinsic_time,storage_root_time
647,67760,28009
647,67719,28362
647,67344,28041
647,70551,28340
647,67368,28000
647,67607,28686
647,67466,28271
647,67653,27987
647,67674,28347
647,67382,28452
647,67412,28285
647,67517,28073
647,67400,28500
647,67279,28271
647,67382,28245
647,67736,28600
666,68618,27963
666,68291,28207
666,68352,28257
666,68827,28548
666,68234,28303
666,68621,28180
666,68636,28611
666,68267,28212
666,68344,28397
666,68745,28335
666,68544,28699
666,68837,28320
666,71486,28390
666,68621,28268
666,68623,28252
666,68280,28383
666,68643,28276
666,68468,28220
666,68728,28151
666,68392,28242
685,69311,28213
685,69003,27823
685,69593,28242
685,69512,28194
685,69237,28164
685,69667,28535
685,69372,27998
685,69584,28261
685,69589,28311
685,69624,28315
685,69389,28195
685,69339,27897
685,69347,28440
685,69217,28128
685,69199,28183
685,69132,28211
685,69172,27945
685,100392,27952
685,68989,27905
685,69812,28324
704,69945,28026
704,70196,28321
704,70150,28197
704,69966,28503
704,69756,28376
704,70027,28324
704,70243,28368
704,69875,27838
704,70268,28383
704,70377,28169
704,70046,28317
704,69939,28112
704,69976,27908
704,69969,28390
704,70130,28114
704,69796,28339
704,70221,28424
704,70312,28516
704,69699,28171
704,69827,28164
723,71102,28355
723,71052,28135
723,71432,28282
723,71073,28395
723,70925,28450
723,71045,28325
723,70783,28172
723,71318,28346
723,71122,28329
723,70882,28409
723,71130,28137
723,71106,28342
723,70843,28240
723,71117,28205
723,73683,28794
723,71182,28262
723,71072,27949
723,71076,28136
723,71174,28379
723,70909,28337
742,71635,28090
742,71727,28193
742,71403,28198
742,71662,28317
742,71537,28350
742,71780,28630
742,71897,28305
742,71807,28353
742,71773,29004
742,71794,28393
742,72112,28456
742,71685,28308
742,71929,28421
742,71992,28228
742,71691,27935
742,71915,28157
742,72003,28068
742,71536,28342
742,71866,27972
742,72250,28182
761,72648,28241
761,72383,28390
761,72626,28470
761,72868,28070
761,73088,28243
761,72552,28364
761,72782,28051
761,72545,28566
761,72497,28210
761,72613,28668
761,72647,28046
761,75687,28815
761,72796,28258
761,72787,28211
761,72505,28116
761,72616,28043
761,72946,28384
761,72434,28265
761,72545,28365
761,72523,28236
780,73321,27846
780,73305,27975
780,73294,28218
780,73565,28246
780,73261,28482
780,73573,28233
780,73530,28187
780,73253,27856
780,73676,28274
780,73379,28280
780,73558,28356
780,73744,28162
780,73960,28839
780,73525,28191
780,73474,28209
780,73509,28279
780,73554,28198
780,73194,28312
780,73563,28125
780,73300,28591
799,74594,28271
799,74475,28286
799,74631,28235
799,74341,28316
799,74489,28772
799,74235,28328
799,74480,28402
799,74226,28534
799,74794,27903
799,74377,28038
799,74497,28316
799,74248,28700
799,74006,28012
799,74061,28109
799,73893,27945
799,73774,28228
799,74432,27962
799,73798,28002
799,74144,28137
799,73906,27925
818,75702,28322
818,75727,28485
818,75166,28080
818,75227,28386
818,75427,28185
818,75832,28373
818,75115,28339
818,75012,28284
818,75775,28839
818,75184,28291
818,75996,28683
818,75633,28289
818,75808,28251
818,75214,28339
818,75347,28232
818,75280,28320
818,75563,28580
818,76072,28439
818,75164,28433
818,75466,28564
837,75770,28102
837,75967,28043
837,75976,28198
837,75671,28213
837,76596,28402
837,75738,28254
837,75927,28503
837,76028,28221
837,75828,28069
837,75925,28357
837,76310,28159
837,76466,28451
837,75942,28202
837,76354,28266
837,75814,28347
837,75222,28249
837,78621,28423
837,75929,28259
837,76088,28123
837,75582,28213
856,77260,28593
856,77248,28224
856,76869,28176
856,76839,28357
856,76832,28391
856,77469,28728
856,76896,28226
856,76955,28269
856,80136,28365
856,76973,28275
856,77576,28638
856,76416,28216
856,77264,28344
856,76905,28244
856,76918,28307
856,77178,28425
856,76861,28301
856,76801,28560
856,76783,28250
856,77093,28534
875,80722,28533
875,77645,28247
875,77514,28502
875,77768,28406
875,77778,28234
875,77425,28157
875,77567,28486
875,77601,28423
875,77426,28313
875,77494,28325
875,77711,28276
875,77919,28652
875,80672,28860
875,77857,28444
875,77541,28246
875,77337,28079
875,77889,28287
875,77708,28034
875,77852,28294
875,77613,28356
894,78948,28600
894,78725,28172
894,78391,28219
894,79152,28205
894,78952,28297
894,78800,28403
894,78893,28292
894,78512,28419
894,78422,28302
894,78803,28116
894,78633,28311
894,78164,28103
894,78337,28324
894,78398,28286
894,78496,28477
894,78533,28234
894,79097,28394
894,78516,28470
894,78987,28078
894,78899,28180
913,79134,28336
913,79379,28227
913,79815,28220
913,79250,28270
913,79366,28024
913,79292,27952
913,79501,28412
913,79527,28157
913,79817,28547
913,79444,28327
913,79392,28067
913,79744,28335
913,79365,28469
913,79333,28305
913,78940,28400
913,79180,28388
913,79165,28394
913,78907,28159
913,79450,28334
913,79171,28353
932,80166,28676
932,80115,28608
932,80408,28364
932,80261,28570
932,79751,28326
932,80001,28479
932,80441,28346
932,80323,28421
932,80178,28451
932,80144,28384
932,80311,28415
932,80170,28302
932,80495,28580
932,80278,28091
932,80375,28595
932,80134,28578
932,79882,28101
932,80373,28468
932,79749,28130
932,80272,28522
951,80702,28234
951,81283,28545
951,80670,28473
951,83733,28175
951,80839,28441
951,81051,28427
951,81340,28323
951,80828,27995
951,81201,28190
951,80799,27982
951,81046,28118
951,81362,28379
951,80816,27986
951,81119,28193
951,80818,28423
951,81512,28602
951,81036,28122
951,81150,28022
951,81159,28471
951,80752,28016
970,82203,28382
970,81861,28229
970,81801,28553
970,81664,28225
970,81498,28219
970,82222,28723
970,81839,28164
970,81744,28127
970,81848,28308
970,81618,28297
970,81625,28472
970,81946,28145
970,81889,28377
970,81659,28197
970,81560,28306
970,81624,28414
970,81733,28197
970,81962,28373
970,84733,28679
970,81894,28391
989,83055,29992
989,83559,28473
989,83465,28297
989,82556,28358
989,83039,28250
989,82832,28469
989,82675,28553
989,82715,28130
989,82981,28180
989,82707,28148
989,83143,28430
989,82657,28581
989,82926,28354
989,82814,28313
989,82846,28159
989,82863,28679
989,82902,28376
989,82627,28289
989,82811,28250
989,82783,28198

Median Slopes Analysis
========

Model:
Time ~=    38.85
    + l    0.044
              µs

Min Squares Analysis
========

Data points distribution:
    l   mean µs  sigma µs       %
    1     37.64     0.114    0.3%
   20     40.38      0.07    0.1%
   39     40.49     0.067    0.1%
   58      41.3      0.06    0.1%
   77     42.38     0.046    0.1%
   96     42.85      0.11    0.2%
  115     43.98     0.045    0.1%
  134     45.06     0.098    0.2%
  153     45.57     0.063    0.1%
  172     46.39     0.108    0.2%
  191     47.27     0.096    0.2%
  210     48.27     0.066    0.1%
  229     49.15     0.131    0.2%
  248     49.65     0.098    0.1%
  267     50.79     0.067    0.1%
  286     51.51      0.07    0.1%
  305     52.35     0.114    0.2%
  324     53.45     0.095    0.1%
  343     54.14     0.107    0.1%
  362        55     0.057    0.1%
  381      55.5     0.082    0.1%
  400     56.52     0.077    0.1%
  419     57.38     0.088    0.1%
  438     58.47     0.058    0.0%
  457      59.4     0.053    0.0%
  476     60.02     0.097    0.1%
  495     61.06     0.077    0.1%
  514     61.97     0.077    0.1%
  533     62.78     0.046    0.0%
  552     63.59     0.059    0.0%
  571     64.33     0.148    0.2%
  590     65.24     0.137    0.2%
  609     65.98     0.095    0.1%
  628     66.95     0.132    0.1%
  647     67.51     0.108    0.1%
  666     68.55     0.103    0.1%
  685     69.38     0.125    0.1%
  704     70.03     0.088    0.1%
  723     71.08     0.028    0.0%
  742     71.79     0.076    0.1%
  761     72.63     0.083    0.1%
  780     73.47     0.094    0.1%
  799      74.3     0.134    0.1%
  818     75.45     0.182    0.2%
  837     75.94     0.077    0.1%
  856     76.98     0.129    0.1%
  875     77.67     0.096    0.1%
  894     78.68     0.154    0.1%
  913     79.34      0.08    0.1%
  932     80.22     0.068    0.0%
  951     81.02     0.138    0.1%
  970     81.79     0.083    0.1%
  989     82.84     0.071    0.0%

Quality and confidence:
param     error
l             0

Model:
Time ~=    38.81
    + l    0.045
              µs

