Pallet: "elections", Extrinsic: "remove_member_without_replacement", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,extrinsic_time,storage_root_time
40,96271390,253354
40,96128921,253215
40,96292322,254568
40,96098348,253263
40,96297861,254995
40,96069424,253397
40,96215447,253634
40,96310514,254641
40,96199717,252593
40,96192326,253889
40,96160881,254036
40,96164502,252654
40,96166411,252139
41,96945360,260136
41,97029291,258639
41,96939526,260602
41,96892029,257771
41,96800880,259542
41,96980916,258025
41,96899953,259230
41,96792287,258750
41,96787164,257627
41,97017643,260996
41,96820283,259397
41,96916386,257871
41,96896476,258545
41,96806397,258559
41,96846466,256458
41,96910676,256544
41,96890699,259322
41,96941379,258518
41,96805822,257777
41,96912603,258306
42,97526322,265600
42,97354251,267655
42,97247974,267528
42,97287075,265430
42,97251037,267786
42,97412027,266526
42,97318417,267245
42,97287424,266928
42,97363211,266753
42,97332276,266761
42,97295117,266875
42,97367917,266757
42,97316768,268103
42,97322126,265005
42,97440844,266960
42,97368540,266024
42,97185191,265786
42,97343396,266996
42,97408338,270285
42,97522844,267787
43,97665346,267547
43,97708540,264384
43,97614631,266376
43,97715456,265143
43,97708654,266689
43,97607359,267208
43,97688767,267343
43,97693763,266674
43,97653191,264354
43,97792017,265763
43,97616707,265465
43,97629448,266027
43,97494583,264162
43,97697379,266909
43,97652452,268116
43,97710027,267582
43,97727059,269131
43,97756909,265861
43,97606095,267459
43,97677357,266371
44,97732439,277226
44,98163769,275953
44,97839146,273943
44,98037894,279062
44,97715166,273995
44,97929204,275820
44,97816930,277861
44,97830924,277975
44,97826547,278908
44,97748975,279783
44,97749428,278029
44,98002202,275936
44,97779236,274403
44,97876002,276327
44,97799912,274754
44,97817319,274859
44,97810290,278332
44,97902258,306911
44,97870111,274634
44,97907829,275003
45,98366277,276298
45,98492122,277489
45,98327332,274889
45,98659165,278937
45,98367968,276549
45,98530169,279993
45,98527355,278385
45,98330978,276167
45,98336082,275077
45,98399803,279998
45,98426500,278258
45,98378619,276051
45,98529691,275532
45,98410657,274854
45,98384399,277544
45,98401155,276585
45,98394940,276450
45,98321246,278289
45,98461539,278648
45,98380605,278155
46,98820226,278037
46,98926081,278171
46,98839097,277654
46,98881796,280986
46,98800441,278006
46,99018382,282671
46,98805282,281557
46,98922763,279081
46,98791601,277819
46,98821072,276737
46,98811933,279523
46,98744008,278552
46,98798323,277860
46,98767734,277298
46,98932397,280253
46,98932428,278810
46,98837803,278326
46,98861599,280276
46,98831640,279533
46,98947359,277809
47,99019313,285427
47,99098219,284908
47,99040334,285597
47,99080900,286216
47,98988617,284934
47,99046394,284044
47,98999980,284236
47,99128233,288751
47,98817052,283951
47,99009491,285183
47,99036830,288189
47,99029255,285313
47,99138709,286336
47,99065354,286681
47,99103187,285421
47,99107506,285836
47,99063075,284876
47,99044643,283691
47,99078876,284770
47,98937284,284929
48,99530116,312645
48,99531436,285137
48,99369733,287683
48,99420023,285896
48,99419172,283898
48,99431319,281979
48,99472226,285688
48,99495118,284450
48,99535859,285735
48,99385370,282015
48,99484280,284838
48,99468165,282347
48,99393969,286416
48,99499983,282439
48,99483022,285752
48,99542032,282813
48,99742403,287230
48,99529387,283941
48,99474809,284400
