Pallet: "collective", Extrinsic: "propose_else_branch", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,p,extrinsic_time,storage_root_time
1000,77,241740,119403
1000,77,259105,121211
1000,77,238547,119847
1000,77,253093,121967
1000,77,249357,116802
1000,77,237944,119205
1000,77,242984,116033
1000,77,252603,117411
1000,81,245114,118760
1000,81,246371,118843
1000,81,314652,122413
1000,81,255578,122857
1000,81,238868,116300
1000,81,263178,119148
1000,81,244857,123607
1000,81,249320,131069
1000,81,258796,116472
1000,81,247325,118236
1000,81,238194,116304
1000,81,287489,142358
1000,81,242770,109692
1000,81,251094,130179
1000,81,239693,117402
1000,81,267935,121320
1000,81,258701,172823
1000,81,279429,118679
1000,81,282789,121090
1000,81,257106,127056
1000,85,254744,122985
1000,85,322096,123320
1000,85,335988,120430
1000,85,255610,121696
1000,85,269169,124195
1000,85,264929,121732
1000,85,268140,133779
1000,85,256477,120492
1000,85,277068,121157
1000,85,254677,121238
1000,85,256612,119003
1000,85,278070,123895
1000,85,250454,118397
1000,85,292231,121913
1000,85,266377,120211
1000,85,282561,130847
1000,85,253996,130461
1000,85,269715,120038
1000,85,278019,136685
1000,85,253313,142309
1000,89,274598,123143
1000,89,285479,139995
1000,89,262365,129626
1000,89,298715,126009
1000,89,292013,124586
1000,89,270845,137494
1000,89,258904,120280
1000,89,298407,122289
1000,89,268033,119875
1000,89,302018,129508
1000,89,307080,134940
1000,89,265429,121986
1000,89,256818,120211
1000,89,260648,169886
1000,89,264121,126736
1000,89,346572,170272
1000,89,285603,146685
1000,89,276591,133296
1000,89,266310,120864
1000,89,261149,120223
1000,93,261018,124516
1000,93,269478,132634
1000,93,302441,149309
1000,93,263418,136347
1000,93,263059,118825
1000,93,275364,124934
1000,93,295149,124536
1000,93,270438,149715
1000,93,264174,119942
1000,93,302846,121629
1000,93,307220,124442
1000,93,268890,121561
1000,93,281561,117891
1000,93,283344,121329
1000,93,262669,119267
1000,93,270667,122502
1000,93,264268,119127
1000,93,268038,121088
1000,93,302838,123888
1000,93,270816,122916
1000,97,274443,123404
1000,97,283694,156574
1000,97,277685,123666
1000,97,274139,122963
1000,97,270319,171963
1000,97,305882,122643
1000,97,278728,125750
1000,97,281040,125164
1000,97,295675,126045
1000,97,268513,121101
1000,97,281007,134657
1000,97,307125,124396
1000,97,274170,143409
1000,97,270896,120621
1000,97,277827,126619
1000,97,281741,129893
1000,97,264817,122022
1000,97,261901,121598
1000,97,260478,124158
1000,97,302811,135249

Median Slopes Analysis
========

Model:
Time ~=    150.6
    + u    0.004
    + p    1.268
              µs

Min Squares Analysis
========

Data points distribution:
    u     p   mean µs  sigma µs       %
    1   100     279.5     5.447    1.9%
   50   100     278.1     5.408    1.9%
   99   100     280.5     3.934    1.4%
  148   100     274.6     2.407    0.8%
  197   100     283.1     6.655    2.3%
  246   100       284     6.377    2.2%
  295   100     276.9     5.174    1.8%
  344   100     280.2     4.354    1.5%
  393   100     279.4     8.249    2.9%
  442   100     276.6     2.361    0.8%
  491   100     279.8     4.775    1.7%
  540   100     284.4     7.454    2.6%
  589   100     278.1     2.466    0.8%
  638   100     290.5        10    3.4%
  687   100     286.2     8.243    2.8%
  736   100     274.5     2.051    0.7%
  785   100     286.1     9.453    3.3%
  834   100     278.2     5.872    2.1%
  883   100     284.8     4.664    1.6%
  932   100     282.3     3.965    1.4%
  981   100     282.7     3.926    1.3%
 1000     1     151.7     1.331    0.8%
 1000     5     160.6     2.445    1.5%
 1000     9     169.5      1.81    1.0%
 1000    13     174.7     2.338    1.3%
 1000    17     172.7     1.622    0.9%
 1000    21     180.2     3.878    2.1%
 1000    25     189.5     5.647    2.9%
 1000    29     191.7     5.874    3.0%
 1000    33     201.2     3.397    1.6%
 1000    37     220.6     5.668    2.5%
 1000    41     216.1     7.289    3.3%
 1000    45     221.8     5.431    2.4%
 1000    49     226.5     5.218    2.3%
 1000    53     227.3      2.31    1.0%
 1000    57     230.8     4.656    2.0%
 1000    61     239.5     2.187    0.9%
 1000    65     240.3      2.67    1.1%
 1000    69     241.7     3.848    1.5%
 1000    73     244.6     3.365    1.3%
 1000    77     248.9     3.227    1.2%
 1000    81     253.2     5.899    2.3%
 1000    85     266.2     7.635    2.8%
 1000    89     274.9     9.303    3.3%
 1000    93     272.2     5.724    2.1%
 1000    97     277.1     3.445    1.2%

Quality and confidence:
param     error
u         0.001
p         0.012

Model:
Time ~=    152.8
    + u    0.005
    + p    1.257
              µs

