Pallet: "treasury", Extrinsic: "tip", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
t,extrinsic_time,storage_root_time
53,60418,10894
54,60980,11454
54,60780,11149
54,60921,11477
54,60756,11383
54,60506,11455
54,61089,11393
54,60827,11437
54,60820,11169
54,61436,11157
54,60618,11297
54,60390,11133
54,60795,11243
54,60370,11274
54,60408,11387
54,60778,11161
54,60452,11254
54,60599,11249
54,60630,11454
54,60568,11205
54,60849,11273
55,62065,11783
55,61371,11679
55,61592,11476
55,61008,11311
55,61274,11268
55,65165,11854
55,62023,11485
55,61591,11318
55,62044,11426
55,61923,11579
55,61857,11365
55,61729,11327
55,61532,11445
55,61449,11450
55,60896,11351
55,62402,11479
55,61870,11373
55,61142,11326
55,61206,11402
55,62252,11457
56,62646,11772
56,62292,11710
56,62299,11902
56,62306,11527
56,62263,11642
56,62097,11694
56,62146,11408
56,62251,11886
56,62537,11632
56,61975,11861
56,62390,11675
56,62984,11608
56,62474,11712
56,62393,11899
56,62148,11591
56,62369,11647
56,62528,11603
56,62431,11572
56,62283,11414
56,62566,11489
57,62694,11496
57,63572,11445
57,62715,11514
57,63013,11440
57,62380,11543
57,62677,11394
57,62542,11650
57,63542,11778
57,62730,11584
57,62616,11584
57,62782,11556
57,62749,11674
57,63017,11510
57,63028,11567
57,62592,11723
57,62981,11637
57,63121,11559
57,62888,11595
57,62856,11646
57,62538,11644
58,63740,11614
58,63006,11591
58,62993,11512
58,63439,11613
58,63402,11506
58,63301,11342
58,63704,11660
58,63532,11596
58,62895,11324
58,63539,11392
58,63711,11361
58,63311,11523
58,63431,11396
58,62958,11461
58,62897,11396
58,63184,11443
58,63237,11490
58,63258,11599
58,62931,11341
58,62837,11456
59,67071,11859
59,63421,11353
59,64679,11684
59,63748,11906
59,63936,11654
59,63455,11533
59,64442,11675
59,63815,11502
59,64274,11530
59,63708,11447
59,63985,11499
59,63519,11556
59,63731,11527
59,64308,11638
59,64136,11527
59,64252,11551
59,64523,11654
59,63863,11641
59,63753,11598
59,64211,11398
60,64661,11814
60,64073,11380
60,64565,11440
60,64847,11473
60,64219,11319
60,67599,11687
60,64636,11399
60,64613,11217
60,64625,11334
60,64877,11320
60,64531,11417
60,64249,11500
60,64519,11538
60,64510,11522
60,64460,11539
60,64641,11390
60,64501,11191
60,64877,11826
60,64460,11224
60,64418,11390
61,65942,12759
61,66277,12768
61,65853,12611
61,65438,12437
61,66016,12605
61,65710,12522
61,66285,12690
61,65740,12400
61,65469,12474
61,65326,12280
61,68221,12668
61,66206,12444
61,65974,12518
61,65845,12549
61,65317,12562
61,66762,12676
61,65735,12297
61,66002,12589
61,65690,12518
61,65805,12302
62,66091,10945
62,65927,11101
62,65496,10838
62,66003,11014
62,65626,10637
62,65646,11006
62,65679,11034
62,67087,11366
62,65188,10819
62,65609,11122
62,65165,10912
62,66438,10999
62,66336,10703
62,66407,11028
62,65472,10858
62,65569,10977
62,65558,10791
62,65773,11215
62,65585,10695
62,65502,11243
63,67859,13158
63,65764,11728
63,66153,11782
63,65850,11842
63,66366,11945
63,65958,11892
63,66284,11830
63,66181,12771
63,66203,12184
63,65531,11895
63,66330,11720
63,66050,11783
63,66166,11995
63,66569,11664
63,65774,11898
63,65974,11634
63,65918,11813
63,66501,12033
63,65859,11676
63,66296,11723
64,67835,11509
64,66790,12018
64,66670,11839
64,66249,12078
64,67083,11840
64,67696,10953
64,66495,11595
64,66294,11655
64,67403,11694
64,66779,11790
64,66826,11704
64,66867,11827
64,66877,11636
64,66688,11829
64,66861,11727
64,66266,11485
64,67469,11538
64,66356,11802
64,66835,11702
64,66660,11627
65,67345,12022
65,68370,11064
65,66552,12021
65,67450,12145
65,66584,11741
65,66486,11862
65,66864,11813
65,66961,11812
65,67380,11728
65,67118,11694
65,67000,11919
65,66752,11794
65,66565,11750
65,67238,11727
65,67182,11908
65,67225,11786
65,67602,11854
65,67483,11683
65,66983,11617
65,66748,11838
66,68025,12270
66,67593,11960
66,68446,11984
66,67951,11968
66,67768,12038
66,67610,11878
66,67607,12025
66,68801,11297
66,67316,11932
66,67522,11981
66,67821,11825
66,68285,12118
66,68204,12041
66,67901,12131
66,67571,12007
66,68660,11858
66,67502,12250
66,68113,11908
66,67595,12243
66,68599,12029
67,69013,11957
67,68627,12132
67,68631,12058
67,68684,12132
67,68845,12165
67,68477,11890
67,68884,11854
67,68716,12150
67,70120,12115
67,68649,12125
67,68610,12231
67,68821,11936
67,69678,11193
67,68650,12105
67,68730,11723
67,68705,11994
67,69265,11961
67,69003,12101
67,68550,11937
67,68520,11982
68,69612,12132
68,68799,11880
68,69716,11134
68,68731,12699
68,69058,12136
68,69094,12009
68,69069,12343
68,69491,12011
68,68458,11960
68,70129,11687
68,69441,12056
68,69175,11980
68,71456,12323
68,69332,11940
68,69300,11949
68,69634,12257
68,69417,11847
68,69241,12087
68,70051,12186
68,68696,12239
69,69759,12569
69,69629,12613
69,70647,11765
69,71416,12436
69,70291,12498
69,71472,12617
69,70103,12634
69,70561,12584
69,70423,12535
69,69626,12602
69,70220,12473
69,69661,12639
69,71022,11958
69,70802,12382
69,69410,12759
69,69722,12564
69,70233,12640
69,70751,12536
69,69862,12584
69,70745,12663
70,69520,11920
70,70317,12012
70,70200,12091
70,70307,11700
70,69915,11804
70,71319,11165
70,70228,12034
70,70237,11816
70,71547,11812
70,70134,12226
70,70105,12006
70,69947,11990
70,70256,11944
70,69532,11768
70,70173,11845
70,70403,11833
70,70821,11808
70,70921,11725
70,72449,12080
70,70367,11960
71,70744,12091
71,71048,11995
71,70556,12078
71,70689,12083
71,71135,12227
71,70713,11852
71,70808,11971
71,70790,11822
71,71194,11790
71,71007,12245
71,70661,11887
71,70603,12005
71,70309,11733
71,71007,11823
71,70659,11908
71,70340,11798
71,70698,11893
71,70919,12053
71,71061,11854
71,71449,11907
72,72023,13066
72,74654,13276
72,72316,12698
72,72137,12818
72,72386,12810
72,71915,12763
72,74410,13153
72,72175,12622
72,71985,12860
72,72522,12069
72,72050,12975
72,74529,13243
72,71212,12875
72,71791,12752
72,71606,13116
72,71770,12795
72,72331,12903
72,72040,13013
72,72236,12966
72,72139,12996
73,71363,12133
73,72250,11965
73,73300,11875
73,71990,12009
73,71353,11762
73,71909,11771
73,72425,12133
73,71476,11788
73,73387,12773
73,71811,12183
73,72568,12260
73,72572,11960
73,71309,11860
73,71959,11791
73,71622,12125
73,71463,11901
73,72226,11968
73,72334,11901
73,72562,11784
73,72245,11761
74,73059,12108
74,73393,11997
74,72579,12026
74,72932,12215
74,73358,11933
74,73033,11714
74,72910,11866
74,72377,11860
74,72764,11968
74,73236,12200
74,74983,12589
74,73106,11891
74,72923,12155
74,72854,12020
74,73611,12097
74,73164,11914
74,72648,11906
74,73130,12049
74,73168,11807
74,72980,11989
75,72723,11105
75,73424,10928
75,73248,10996
75,72471,10748
75,73018,10946
75,72813,10838
75,73720,11041
75,72123,11095
75,73350,10749
75,72473,10773
75,73050,10810
75,73222,10863
75,72681,10376
75,73432,10932
75,72067,10988
75,72572,10965
75,73066,10565
75,72532,10837
75,73033,10688
75,72638,10820
76,74818,11968
76,74480,11553
76,74562,11839
76,73695,11930
76,74268,11659
76,73966,11960
76,74327,11901
76,74758,12308
76,74795,11606
76,73691,11975
76,74025,11894
76,74593,11621
76,73272,11892
76,74298,11845
76,74646,12081
76,73658,10911
76,74254,11625
76,74305,11882
76,74385,11882
76,74359,11877
77,73592,10975
77,74336,10826
77,73696,10463
77,74047,10789
77,74874,11059
77,74092,10532
77,73430,10816
77,75129,11232
77,73489,10133
77,73616,10692
77,72969,11763
77,73539,10880
77,74386,10974
77,74398,10950
77,73389,10998
77,73922,10779
77,74604,10987
77,73297,11200
77,73241,10853
77,74596,10820
78,74856,12110
78,75549,11747
78,74895,11749
78,75266,11907
78,75152,11732
78,75629,11993
78,75004,11687
78,75398,11795
78,75914,11613
78,75242,11722
78,75160,11539
78,74649,11687
78,75183,11843
78,74906,11971
78,75657,11855
78,75185,11984
78,75671,11776
78,75912,11726
78,74132,11877
78,75196,11746
79,75942,12093
79,75547,11901
79,76681,12145
79,76034,11746
79,75204,12061
79,75247,12231
79,75456,12059
79,75510,11939
79,75703,11810
79,75637,11884
79,76009,11937
79,76138,12150
79,75499,12238
79,75186,12069
79,75500,12137
79,75970,12017
79,75878,11780
79,75008,11914
79,75579,11978
79,75313,11796
80,77930,12733
80,76729,11778
80,77620,11879
80,77233,11597
80,76952,11923
80,76633,11677
80,75349,12674
80,76261,11456
80,76203,12474
80,76897,11775
80,76783,11925
80,75818,12016
80,76489,11898
80,79932,12223
80,76065,11845
80,75924,11981
80,76107,11783
80,75450,12098
80,76394,11817
80,75980,12226
81,77229,11785
81,76394,11314
81,76109,11489
81,76293,11478
81,76033,11873
81,76893,11787
81,75887,11796
81,76190,11860
81,76140,11811
81,76840,11828
81,77056,11923
81,76378,11866
81,76984,11554
81,76898,11575
81,76495,11497
81,75995,11893
81,76571,11663
81,75816,11939
81,76394,11608
81,76089,11928
82,77567,12015
82,77163,11842
82,79541,12796
82,77526,11891
82,77853,11857
82,76574,12007
82,76970,12166
82,77249,12436
82,77596,12003
82,77468,12075
82,77378,11552
82,77924,11926
82,77307,12024
82,77573,12218
82,78452,11873
82,77696,11641
82,77342,11793
82,77689,12086
82,77954,11976
82,77833,11641
83,78292,11555
83,78655,12086
83,77857,11656
83,77003,11547
83,77832,11725
83,77041,11558
83,77550,11429
83,78519,11982
83,77556,11621
83,79998,12021
83,78252,12047
83,77634,11550
83,77514,11660
83,77912,11858
83,77939,11835
83,77398,11783
83,77813,11788
83,77306,11588
83,77840,11613
83,78004,11510
84,82092,13199
84,82528,13130
84,83107,13060
84,82741,13124
84,83392,12843
84,82753,13074
84,83522,13090
84,82454,12959
84,82680,12915
84,82654,13053
84,83336,13028
84,82520,13114
84,82276,13082
84,82912,13078
84,82478,12999
84,82445,13117
84,83152,12862
84,81909,13068
84,83300,13088
84,82739,12957
85,83038,12158
85,82137,12087
85,82810,12186
85,83471,12249
85,82531,11972
85,82675,12047
85,82773,11827
85,83371,11896
85,86118,12621
85,82570,12221
85,82553,12043
85,82697,12240
85,82961,12339
85,82578,12206
85,82736,12002
85,82705,12088
85,82259,12157
85,82367,12105
85,82442,12246
85,82690,12173
86,83168,12954
86,84223,13047
86,83613,12892
86,83960,13205
86,83765,12260
86,84445,12112
86,83816,12569
86,83851,12758
86,84151,12706
86,83819,13000
86,83805,12850
86,83432,12013
86,83829,13015
86,83840,12708
86,83436,12747
