Pallet: "elections", Extrinsic: "report_defunct_voter_incorrect", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,c,extrinsic_time,storage_root_time
    1    16     77.99     0.169    0.2%
    2    16     78.42     0.179    0.2%
    3    16     78.68      0.14    0.1%
    4    16     79.23     0.179    0.2%
    5    16     79.42     0.082    0.1%
    6    16     79.48     0.144    0.1%
    7    16     80.08     0.223    0.2%
    8    16     80.43     0.129    0.1%
    9    16      80.1     0.159    0.1%
   10    16     81.16      0.07    0.0%
   11    16     81.88     0.152    0.1%
   12    16     81.07     0.121    0.1%
   13    16     81.33     0.108    0.1%
   14    16     82.09     0.138    0.1%
   15    16     82.47     0.208    0.2%
   16    16     82.89     0.111    0.1%
   17    16     83.72     0.181    0.2%
   18    16     84.14     0.153    0.1%
   19    16      83.9     0.141    0.1%
   20     1     79.91     0.189    0.2%
   20     2     80.52     0.172    0.2%
   20     3     81.13     0.174    0.2%
   20     4     80.72     0.143    0.1%
   20     5     80.89     0.153    0.1%
   20     6     81.73     0.176    0.2%
   20     7     82.23     0.145    0.1%
   20     8      82.4     0.172    0.2%
   20     9     82.46     0.162    0.1%
   20    10     82.35     0.203    0.2%
   20    11     82.87     0.192    0.2%
   20    12     83.13     0.205    0.2%
   20    13     83.67     0.285    0.3%
   20    14     83.51     0.136    0.1%
   20    15      83.6     0.182    0.2%
   20    16     84.03     0.161    0.1%

Quality and confidence:
param     error
m         0.003
c         0.004

Model:
Time ~=    73.38
    + m    0.329
    + c    0.266
              µs

