Pallet: "elections", Extrinsic: "report_defunct_voter_correct", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,extrinsic_time,storage_root_time
40,16,277796,63560
40,16,272835,62309
40,16,270061,62985
40,16,271017,63252
40,16,273601,62355
40,16,273543,62634
40,16,273713,62929
40,16,269832,66019
40,16,273291,62992
40,16,270275,63423
40,16,269909,63077
40,16,272838,63264
40,16,270341,63365
40,16,276306,62888
41,16,276220,62693
41,16,275937,62325
41,16,271263,62827
41,16,276401,62542
41,16,275258,63288
41,16,277902,63674
41,16,277023,63013
41,16,276306,62747
41,16,275301,63362
41,16,275873,63141
41,16,278005,63486
41,16,276575,62454
41,16,276413,62544
41,16,276049,62957
41,16,275479,63084
41,16,275296,63505
41,16,276313,62657
41,16,277267,62596
41,16,276617,62870
41,16,277651,63060
42,16,279032,63232
42,16,310827,64003
42,16,279461,63511
42,16,278315,62651
42,16,278122,63051
42,16,277806,63468
42,16,276999,63619
42,16,278249,63118
42,16,277338,63046
42,16,276656,62490
42,16,279084,63171
42,16,279019,62762
42,16,279472,66028
42,16,277945,63219
42,16,278084,62345
42,16,278696,62787
42,16,279198,62887
42,16,279295,63018
42,16,278697,63112
42,16,278510,62948
43,16,279343,62378
43,16,285217,63272
43,16,280010,63589
43,16,280412,62582
43,16,279435,62341
43,16,280300,62846
43,16,278601,62903
43,16,280083,62588
43,16,278731,62019
43,16,280774,62912
43,16,280082,62992
43,16,280449,62934
43,16,279623,62953
43,16,279023,62620
43,16,284039,63275
43,16,279652,62557
43,16,280279,62695
43,16,279873,63217
43,16,280230,62813
43,16,281029,62568
44,16,280942,62748
44,16,282716,62617
44,16,281159,63080
44,16,280993,63327
44,16,281656,63172
44,16,280903,62537
44,16,281780,62618
44,16,281382,63486
44,16,282375,63030
44,16,282005,62923
44,16,282049,62999
44,16,282563,62854
44,16,281839,63220
44,16,281101,62831
44,16,281638,63409
44,16,282815,63007
44,16,281284,63228
44,16,283065,63462
44,16,281810,63313
44,16,282890,66204
45,16,282072,62854
45,16,282471,62829
45,16,282908,63534
45,16,283050,63199
45,16,281768,62599
45,16,284514,63317
45,16,283312,63200
45,16,283243,62915
45,16,283521,63006
45,16,283876,63142
45,16,282955,63541
45,16,284168,63327
45,16,284630,63029
45,16,281970,63521
45,16,283339,62145
45,16,282773,62792
45,16,282443,63956
45,16,282902,62997
45,16,283981,62872
45,16,283649,63121
46,16,284672,62910
46,16,286274,63447
46,16,285413,62518
46,16,283491,63388
46,16,286727,62818
46,16,284730,62697
46,16,285748,62478
46,16,284573,62435
46,16,285689,62933
46,16,288855,63666
46,16,284982,62668
46,16,319141,63438
46,16,286737,63179
46,16,285026,63362
46,16,285127,62626
46,16,285533,62822
46,16,285043,63049
46,16,285662,63567
46,16,285848,62609
46,16,285956,62941
47,16,287152,62910
47,16,286887,62726
47,16,285984,62977
47,16,286948,62680
47,16,287547,63228
47,16,288200,63351
47,16,287605,63368
47,16,288031,62764
47,16,288541,63073
47,16,286692,63382
47,16,288006,62570
47,16,287987,62868
47,16,287363,65911
47,16,288278,63244
47,16,291077,63663
47,16,286950,63505
47,16,288702,63148
47,16,288407,63333
47,16,286327,62662
47,16,286538,63209
48,16,288953,63024
48,16,289596,62483
48,16,288332,62473
48,16,287870,62920
48,16,288467,62709
48,16,286728,62437
48,16,287816,62804
48,16,290358,63376
48,16,287695,63499
48,16,287210,62496
48,16,287650,62953
48,16,288317,63139
48,16,289005,62863
48,16,288243,62596
48,16,288004,62651
48,16,287894,63388
48,16,288450,62786
48,16,286987,63156
48,16,288425,62832
48,16,287665,62857
49,16,290140,63207
49,16,290548,62980
49,16,289203,62674
49,16,289005,63034
49,16,291114,62406
49,16,290370,62932
49,16,289043,62471
49,16,290052,65487
49,16,291356,63056
49,16,291993,62594
49,16,289394,62692
